as_rank,as_number,as_name,org_name,as_type,no_ases,no_ip4_prefixes,no_ip4_addresses,pc_ases,pc_ip4_prefixes,pc_ip4_addresses,as_transit_degree
79,6128,CABLE-NET-1,Cablevision Systems Corp.,Tr/Ac,431,"5,379","12,522,448",0.93%,1.0%,0.58%,465
80,3786,LGDACOM,LG DACOM Corporation,Tr/Ac,430,"11,619","37,026,528",0.93%,2.2%,1.7%,361
81,20965,GEANT,DANTE Ltd,Tr/Ac,428,"6,934","44,180,822",0.92%,1.3%,2.1%,69
82,4134,CHINANET-B...,"No.31,Jin-rong Street",Tr/Ac,392,"29,658","307,415,296",0.84%,5.6%,14%,98
83,251,KAIAGLOBAL-AS,Kaia Global Networks Ltd.,Tr/Ac,388,"4,926","6,491,361",0.84%,0.93%,0.30%,659
84,4657,STARHUBINT...,StarHub Internet Exchange,Tr/Ac,382,"14,608","67,330,904",0.82%,2.8%,3.1%,198
85,262589,(no data),INTERNEXA Brasil Operadora de Telecomunicações S.A,Tr/Ac,375,"9,973","13,671,617",0.81%,1.9%,0.64%,138
86,39792,ANDERS-AS,Anders Telecom Ltd.,Tr/Ac,373,"2,039","3,016,963",0.80%,0.39%,0.14%,1111
87,8732,COMCOR-AS,Moscow Telecommunication Corporation (COMCOR),Tr/Ac,367,"1,302","1,775,745",0.79%,0.25%,0.08%,410
88,21011,TOPNET,"""TOP NET"" PJSC",Tr/Ac,362,"2,476","1,541,184",0.78%,0.47%,0.07%,195
89,13249,ITS-UA,IT Systems LLC,Tr/Ac,357,"1,555","3,029,760",0.77%,0.29%,0.14%,141
90,9050,RTD,ROMTelecom S.A.,Tr/Ac,348,"2,630","4,024,064",0.75%,0.50%,0.19%,274
91,10429,(no data),Telefonica Data S.A.,Tr/Ac,342,"5,257","37,655,232",0.74%,0.99%,1.8%,170
92,20804,ASN-TELENERGO,Exatel S.A.,Tr/Ac,339,"1,335","1,575,681",0.73%,0.25%,0.07%,220
93,2497,IIJ,Internet Initiative Japan Inc.,Tr/Ac,335,"6,428","63,685,248",0.72%,1.2%,3.0%,278
94,24490,TEIN2-SG-AP,Trans-Eurasia Information Network (TEIN2) - SG,Tr/Ac,335,"2,163","24,335,617",0.72%,0.41%,1.1%,14
95,577,BACOM,Bell Canada,Tr/Ac,332,"10,206","24,188,744",0.71%,1.9%,1.1%,248
96,3255,UARNET-AS,"State Enterprise Scientific and Telecommunication Centre ""Ukrainian Academic and",Tr/Ac,325,"1,301","1,376,000",0.70%,0.25%,0.06%,228
97,13237,LAMBDANET-AS,euNetworks Managed Services GmbH,Tr/Ac,322,"1,932","6,604,961",0.69%,0.36%,0.31%,259
98,26615,(no data),Tim Celular S.A.,Tr/Ac,306,"5,986","20,419,152",0.66%,1.1%,0.95%,118
99,9121,TTNet,Turk Telekomunikasyon Anonim Sirketi,Tr/Ac,301,"7,626","16,248,192",0.65%,1.4%,0.76%,219
100,2764,AAPT,AAPT Limited,Tr/Ac,300,"5,968","12,206,852",0.65%,1.1%,0.57%,188
101,4725,ODN,SOFTBANK TELECOM Corp.,Tr/Ac,298,"6,163","77,990,400",0.64%,1.2%,3.6%,127
102,12989,HWNG,Eweka Internet Services B.V.,Tr/Ac,297,"9,586","36,334,533",0.64%,1.8%,1.7%,1318
103,10796,SCRR-10796,Time Warner Cable Internet LLC,Co,297,"2,740","12,112,896",0.64%,0.52%,0.56%,236
104,4788,TMNET-AS-AP,"TM Net, Internet Service Provider",Tr/Ac,296,"10,397","36,873,920",0.64%,2.0%,1.7%,153
105,3267,RUNNET,"State Institute of Information Technologies and Telecommunications (SIIT&T ""Info",Tr/Ac,295,"1,066","1,730,306",0.63%,0.20%,0.08%,667
106,5400,BT,British Telecommunications plc,Tr/Ac,282,"2,647","27,001,603",0.61%,0.50%,1.3%,156
107,46887,LIGHTOWER,Lightower Fiber Networks,Tr/Ac,280,"2,933","4,889,616",0.60%,0.55%,0.23%,272
108,20115,CHARTER-NE...,Charter Communications,Tr/Ac,278,"5,159","13,679,872",0.60%,0.97%,0.64%,287
109,12883,UCOMLINE,"PRIVATE JOINT-STOCK COMPANY ""FARLEP-INVEST""",Tr/Ac,275,"1,296","1,566,465",0.59%,0.24%,0.07%,155
110,8167,(no data),Telemar Norte Leste S.A.,Tr/Ac,274,"5,166","10,076,706",0.59%,0.98%,0.47%,204
111,4230,(no data),EMPRESA BRASILEIRA DE TELECOMUNICAÇÕES SA-EMBRATEL,Tr/Ac,273,"6,386","20,707,264",0.59%,1.2%,0.96%,297
112,8708,RCS-RDS,RCS & RDS SA,Tr/Ac,271,"1,023","3,542,784",0.58%,0.19%,0.16%,354
113,3292,TDC,TDC A/S,Tr/Ac,254,"1,492","12,382,728",0.55%,0.28%,0.58%,288
114,9505,TWGATE-AP,Taiwan Internet Gateway,Tr/Ac,250,"10,267","51,936,192",0.54%,1.9%,2.4%,285
115,25973,AS-GTT-25973,"PacketExchange, Inc",Tr/Ac,241,"7,157","31,873,040",0.52%,1.4%,1.5%,23
116,6663,TTI-NET,Euroweb Romania S.A.,Tr/Ac,234,"2,157","1,864,203",0.50%,0.41%,0.09%,231
117,8529,OMANTEL-AS,General Telecommunication Organization,Tr/Ac,233,"6,601","10,732,800",0.50%,1.2%,0.50%,78
118,12880,DCI-AS,Information Technology Company (ITC),Co,232,"3,458","9,091,072",0.50%,0.65%,0.42%,102
119,23520,COLUMBUS-N...,"Columbus Networks USA, Inc.",Tr/Ac,230,"10,332","20,424,360",0.50%,2.0%,0.95%,150
120,18101,RELIANCE-C...,Reliance Communications Ltd.DAKC MUMBAI,Tr/Ac,230,"9,491","18,026,880",0.50%,1.8%,0.84%,216
121,34984,TELLCOM-AS,TELLCOM ILETISIM HIZMETLERI A.S.,Tr/Ac,230,"6,025","10,497,536",0.50%,1.1%,0.49%,138
122,11404,AS-VOBIZ,vanoppen.biz LLC,Tr/Ac,228,"3,421","6,493,952",0.49%,0.65%,0.30%,118
123,2603,NORDUNET,NORDUnet A/S,Tr/Ac,227,"1,218","15,865,856",0.49%,0.23%,0.74%,339
124,1257,SWIPNET,TELE2,Tr/Ac,225,"1,214","10,352,336",0.48%,0.23%,0.48%,162
125,5617,TPNET,Orange Polska Spolka Akcyjna,Tr/Ac,225,559,"23,623,936",0.48%,0.11%,1.1%,233
126,6327,SHAW,Shaw Communications Inc.,Tr/Ac,224,"4,263","12,591,954",0.48%,0.81%,0.59%,234
127,7385,INTEGRATEL...,"Integra Telecom, Inc.",Tr/Ac,223,"2,327","11,358,592",0.48%,0.44%,0.53%,241
128,33891,CORE-BACKBONE,Core-Backbone GmbH,Tr/Ac,207,"1,086","3,678,240",0.45%,0.21%,0.17%,1051
129,12713,OTEGlobe,OTE GLOBAL SOLUTIONS S.A.,Tr/Ac,206,"7,355","14,642,432",0.44%,1.4%,0.68%,114
130,1221,ASN-TELSTRA,Telstra Pty Ltd,Tr/Ac,206,"5,201","25,320,272",0.44%,0.98%,1.2%,143
131,4809,CHINATELEC...,China Telecom Next Generation Carrier Network,Tr/Ac,204,"11,488","24,422,128",0.44%,2.2%,1.1%,92
132,4651,THAI-GATEWAY,The Communications Authority of Thailand(CAT),Tr/Ac,202,"6,411","8,972,224",0.43%,1.2%,0.42%,80
133,5483,HTC-AS,Magyar Telekom plc.,Tr/Ac,200,"3,978","4,588,806",0.43%,0.75%,0.21%,139
134,24785,JOINTTRANS...,Open Peering BV trading as Joint Transit,Tr/Ac,199,927,"8,635,904",0.43%,0.18%,0.40%,174
135,5089,NTL,Virgin Media Limited,Tr/Ac,196,"4,116","63,027,715",0.42%,0.78%,2.9%,236
136,15290,ALLST-15290,Allstream Corp.,Tr/Ac,196,"2,611","5,251,968",0.42%,0.49%,0.24%,206
137,7713,telkomnet-...,PT Telekomunikasi Indonesia,Tr/Ac,195,"4,770","10,432,000",0.42%,0.90%,0.49%,247
138,22561,AS22561,"Qwest Communications Company, LLC",Tr/Ac,194,"4,071","6,435,328",0.42%,0.77%,0.30%,67
139,12578,APOLLO-AS,LATTELEKOM-APOLLO,Tr/Ac,192,"1,904","4,049,411",0.41%,0.36%,0.19%,182
140,7303,(no data),Telecom Argentina S.A.,Tr/Ac,189,"6,372","8,442,624",0.41%,1.2%,0.39%,119
141,13789,INTERNAP-BLK3,Internap Network Services Corporation,Tr/Ac,188,"2,802","2,713,506",0.40%,0.53%,0.13%,150
142,8866,BTC-AS,Bulgarian Telecommunication Company Plc.,Tr/Ac,182,"2,366","1,453,571",0.39%,0.45%,0.07%,206
143,4648,NZIX-2,Global-Gateway Internet,Tr/Ac,180,"2,012","4,204,544",0.39%,0.38%,0.20%,107
144,1764,NEXTLAYER-AS,next layer Telekommunikationsdienstleistungs- GmbH,Tr/Ac,180,719,"3,587,360",0.39%,0.14%,0.17%,741
145,15645,AS15645,"Daughter company ""Ukrainian traffic exchange network""",Tr/Ac,179,"3,466","1,927,680",0.39%,0.65%,0.09%,49
146,2687,ATGS-MMD-AS,"AT&T Global Network Services, LLC",Tr/Ac,178,"3,737","30,582,272",0.38%,0.71%,1.4%,80
147,721,DNIC-ASBLK...,DoD Network Information Center,Tr/Ac,177,"5,679","81,991,424",0.38%,1.1%,3.8%,6
148,24748,ATMAN-Pola...,ATM S.A.,Tr/Ac,177,802,"2,168,832",0.38%,0.15%,0.10%,92
149,12714,TI-AS,Net By Net Holding LLC,Tr/Ac,176,792,"2,150,400",0.38%,0.15%,0.10%,149
150,12552,IPO-EU,IP-Only Networks AB,Tr/Ac,174,"1,364","3,796,722",0.37%,0.26%,0.18%,190
151,13768,PEER1,Peer 1 Network (USA) Inc.,Tr/Ac,170,"3,798","7,543,424",0.37%,0.72%,0.35%,193
152,19151,WVFIBER-1,WV FIBER,Tr/Ac,170,"2,616","3,082,016",0.37%,0.49%,0.14%,855
153,812,ROGERS-CABLE,Rogers Cable Communications Inc.,Tr/Ac,166,"2,560","9,352,736",0.36%,0.48%,0.44%,129
154,15772,WNET,"LLC ""WNET UKRAINE""",Tr/Ac,165,"1,620","1,897,728",0.36%,0.31%,0.09%,155
155,3269,ASN-IBSNAZ,Telecom Italia S.p.a.,Tr/Ac,165,"1,322","23,629,826",0.36%,0.25%,1.1%,155
156,8881,VERSATEL,Versatel Deutschland GmbH,Tr/Ac,165,965,"2,611,200",0.36%,0.18%,0.12%,245
157,2854,ROSPRINT-AS,LLC Equant,Tr/Ac,165,458,"633,664",0.36%,0.09%,0.03%,219
158,55410,VODAFONE-N...,"C48 Okhla Industrial Estate, New Delhi-110020",Tr/Ac,162,"7,739","4,666,368",0.35%,1.5%,0.22%,142
159,852,ASN852,TELUS Communications Inc.,Tr/Ac,160,"3,807","10,628,064",0.34%,0.72%,0.49%,175
160,8717,SPECTRUMNET,MOBILTEL EAD,Tr/Ac,158,"1,070","996,112",0.34%,0.20%,0.05%,199
161,2856,BT-UK-AS,BT Public Internet Service,Tr/Ac,154,"1,304","14,069,632",0.33%,0.25%,0.66%,195
162,5603,SIOL-NET,Telekom Slovenije d.d.,Tr/Ac,154,834,"1,847,296",0.33%,0.16%,0.09%,122
163,196844,PIONIER-AS...,"Institute of Bioorganic Chemistry Polish Academy of Science, Poznan Supercomputi",Tr/Ac,151,584,"1,382,976",0.32%,0.11%,0.06%,76
164,45147,NAPINFO-TR...,PT. NAP Info Lintas Nusa,Tr/Ac,150,"2,468","822,016",0.32%,0.47%,0.04%,65
165,3741,IS,Internet Solutions,Tr/Ac,148,"2,167","27,595,200",0.32%,0.41%,1.3%,146
166,39737,NETVISION-AS,Net Vision Telecom SRL,Tr/Ac,148,876,"435,721",0.32%,0.17%,0.02%,173
167,27064,DNIC-ASBLK...,DoD Network Information Center,Tr/Ac,147,"5,100","19,859,968",0.32%,0.96%,0.92%,134
168,38082,IIT-TIG-AS-AP,"True International Gateway Co., Ltd.",Tr/Ac,146,"2,443","3,778,304",0.31%,0.46%,0.18%,117
169,8400,TELEKOM-AS,TELEKOM SRBIJA a.d.,Tr/Ac,146,"1,600","2,175,488",0.31%,0.30%,0.10%,152
170,11427,SCRR-11427,Time Warner Cable Internet LLC,Co,146,"1,379","7,751,936",0.31%,0.26%,0.36%,134
171,8641,NAUKANET-AS,"LLC ""Nauka-Svyaz""",Tr/Ac,146,462,"583,168",0.31%,0.09%,0.03%,135
172,15694,ATMAN-ISP-AS,ATM S.A.,Tr/Ac,145,367,"265,984",0.31%,0.07%,0.01%,143
173,3215,AS3215,Orange S.A.,Tr/Ac,144,"1,357","18,321,664",0.31%,0.26%,0.85%,127
174,8447,TELEKOM-AT,A1 Telekom Austria AG,Tr/Ac,144,605,"4,975,872",0.31%,0.11%,0.23%,609
175,33491,COMCAST-33491,"Comcast Cable Communications, Inc.",Tr/Ac,142,672,"989,184",0.31%,0.13%,0.05%,149
176,5541,AdNet-Telecom,SC AD NET MARKET MEDIA SRL,Tr/Ac,141,"1,343","1,055,744",0.30%,0.25%,0.05%,70
177,4761,INDOSAT-IN...,INDOSAT Internet Network Provider,Tr/Ac,139,"2,541","4,894,976",0.30%,0.48%,0.23%,145
178,13293,PIONIER-AS...,PIONIER,Tr/Ac,138,560,"985,344",0.30%,0.11%,0.05%,23
179,4837,CHINA169-B...,CNCGROUP China169 Backbone,Tr/Ac,137,"7,196","88,713,522",0.29%,1.4%,4.1%,69
180,29208,DIALTELECO...,"Dial Telecom, a.s.",Tr/Ac,137,455,"1,461,280",0.29%,0.09%,0.07%,787
181,9049,ERTH-TRANS...,"CJSC ""ER-Telecom Holding""",Tr/Ac,136,"1,464","2,208,512",0.29%,0.28%,0.10%,141
182,21127,ZSTTKAS,"JSC ""Zap-Sib TransTeleCom"", Novosibirsk",Tr/Ac,136,"1,320","891,136",0.29%,0.25%,0.04%,112
183,29049,Delta-Tele...,Delta Telecom LTD.,Tr/Ac,135,"2,934","4,870,400",0.29%,0.55%,0.23%,98
184,23947,MORATELIND...,PT.Mora Telematika Indonesia,Tr/Ac,135,"1,816","613,632",0.29%,0.34%,0.03%,112
185,8966,Etisalat-AS,Emirates Telecommunications Corporation,Tr/Ac,134,"4,274","14,782,720",0.29%,0.81%,0.69%,137
186,12695,DINET-AS,Digital Networks CJSC,Tr/Ac,134,905,"1,304,832",0.29%,0.17%,0.06%,104
187,6774,ASN-BICS,Belgacom International Carrier Services SA,Tr/Ac,133,903,"5,399,424",0.29%,0.17%,0.25%,110
188,34224,NETERRA-AS,Neterra Ltd.,Tr/Ac,130,"5,311","7,205,824",0.28%,1.0%,0.34%,194
189,20960,TKTELEKOM-AS,TK Telekom sp. z o.o.,Tr/Ac,129,330,"610,304",0.28%,0.06%,0.03%,120
190,8551,BEZEQ-INTE...,Bezeq International-Ltd,Tr/Ac,128,"2,778","21,120,400",0.28%,0.52%,0.98%,215
191,9009,M247,M247 Ltd,Tr/Ac,128,979,"1,655,872",0.28%,0.18%,0.08%,102
192,50607,ASN-EPIX,Stowarzyszenie na Rzecz Rozwoju Spoleczenstwa Informacyjnego e-Poludnie,Tr/Ac,128,361,"360,960",0.28%,0.07%,0.02%,111
193,2153,CSUNET-NE,California State University Network,Tr/Ac,127,"1,142","27,389,440",0.27%,0.22%,1.3%,42
194,27750,(no data),Cooperación Latino Americana de Redes Avanzadas,Tr/Ac,126,"5,290","20,110,176",0.27%,1.00%,0.94%,22
195,24130,TPG-AU,TPG Telecom Limited,Tr/Ac,126,961,"844,288",0.27%,0.18%,0.04%,129
196,39386,STC-IGW-AS,Saudi Telecom Company JSC,Tr/Ac,125,"3,699","9,456,896",0.27%,0.70%,0.44%,89
197,31500,GLOBALNET-AS,JSC GLOBALNET,Tr/Ac,125,749,"818,409",0.27%,0.14%,0.04%,136
198,27986,(no data),ENTEL CHILE S.A.,Tr/Ac,124,"3,487","20,101,032",0.27%,0.66%,0.94%,18
199,16657,FIBERTECH-...,"Fibertech Networks, LLC",Tr/Ac,124,979,"1,801,216",0.27%,0.18%,0.08%,119
200,8501,PIONIER-AS,"PIONIER, National Research and Education Network in Poland",Tr/Ac,123,543,"1,561,344",0.26%,0.10%,0.07%,41
201,31042,SERBIA-BRO...,Serbia BroadBand-Srpske Kablovske mreze d.o.o.,Tr/Ac,122,608,"1,124,352",0.26%,0.11%,0.05%,140
202,35297,DATALINE-AS,Dataline LLC,Tr/Ac,121,"1,537","486,656",0.26%,0.29%,0.02%,94
203,28168,(no data),Minas Mais Telecomunicações Ltda -ME,Tr/Ac,121,"1,472","676,097",0.26%,0.28%,0.03%,512
204,6739,ONO-AS,Cableuropa S.A.U.,Tr/Ac,120,891,"3,815,936",0.26%,0.17%,0.18%,106
205,3352,Telefonica...,TELEFONICA DE ESPANA,Tr/Ac,120,753,"11,115,520",0.26%,0.14%,0.52%,126
206,9198,KAZTELECOM-AS,JSC Kazakhtelecom,Tr/Ac,116,"1,851","2,753,536",0.25%,0.35%,0.13%,58
207,22927,(no data),Telefonica de Argentina,Tr/Ac,113,"7,013","14,905,088",0.24%,1.3%,0.69%,89
208,8595,WESTCALL-AS,WestCall Ltd.,Tr/Ac,113,399,"503,808",0.24%,0.08%,0.02%,70
209,10913,INTERNAP-BLK,Internap Network Services Corporation,Tr/Ac,112,"1,674","1,770,418",0.24%,0.32%,0.08%,91
210,26554,US-SIGNAL,"US Signal Company, L.L.C.",Tr/Ac,112,"1,042","1,260,800",0.24%,0.20%,0.06%,102
211,38809,NXGNET-AS-AP,Nextgen Networks,Tr/Ac,111,"1,164","1,381,376",0.24%,0.22%,0.06%,100
212,32787,PROLEXIC-T...,"Prolexic Technologies, Inc.",Tr/Ac,109,"2,898","20,337,600",0.23%,0.55%,0.95%,203
213,43531,IXREACH,IX Reach Ltd,Tr/Ac,108,"4,150","5,391,104",0.23%,0.78%,0.25%,647
