as_rank,as_number,as_name,org_name,as_type,no_ases,no_ip4_prefixes,no_ip4_addresses,pc_ases,pc_ip4_prefixes,pc_ip4_addresses,as_transit_degree
1,3356,LEVEL3,"Level 3 Communications, Inc.",Tr/Ac,"26,870","341,330","1,497,945,338",57%,64%,69%,4120
2,174,COGENT-174,Cogent Communications,Tr/Ac,"18,283","241,642","868,307,847",39%,45%,40%,4512
3,1299,TELIANET,TeliaSonera International Carrier,Tr/Ac,"16,964","266,486","923,192,607",36%,50%,42%,972
4,2914,NTT-COMMUN...,"NTT America, Inc.",Tr/Ac,"15,937","247,805","843,056,405",34%,46%,39%,1161
5,3257,TINET-BACK...,Tinet Spa,Tr/Ac,"14,934","228,395","733,135,597",32%,43%,34%,1060
6,6453,AS6453,TATA COMMUNICATIONS (AMERICA) INC,Tr/Ac,"11,585","196,940","683,815,007",24%,37%,31%,654
7,6762,SEABONE-NET,TELECOM ITALIA SPARKLE S.p.A.,Tr/Ac,"9,873","146,486","458,148,069",21%,27%,21%,337
8,6939,HURRICANE,"Hurricane Electric, Inc.",Tr/Ac,"7,075","87,790","344,237,427",15%,16%,16%,3570
9,2828,XO-AS15,XO Communications,Tr/Ac,"6,640","117,322","403,709,292",14%,22%,18%,1096
10,3549,LVLT-3549,"Level 3 Communications, Inc.",Tr/Ac,"6,589","129,229","366,603,976",14%,24%,17%,3648
11,701,UUNET,"MCI Communications Services, Inc. d/b/a Verizon Business",Tr/Ac,"5,119","109,657","856,489,974",11%,20%,39%,1619
12,7018,ATT-INTERNET4,"AT&T Services, Inc.",Tr/Ac,"4,853","71,360","460,729,044",10%,13%,21%,2326
13,1273,CW,Cable and Wireless Worldwide plc,Tr/Ac,"4,636","69,158","229,797,898",10.0%,13%,10%,339
14,1239,SPRINTLINK,Sprint,Tr/Ac,"3,598","98,618","527,356,275",7.7%,18%,24%,680
15,6461,ABOVENET,"Abovenet Communications, Inc",Tr/Ac,"3,542","42,639","163,832,120",7.6%,8.1%,7.6%,1358
16,3320,DTAG,Deutsche Telekom AG,Tr/Ac,"3,485","68,829","378,865,501",7.5%,13%,17%,534
17,3491,BTN-ASN,"Beyond The Network America, Inc.",Tr/Ac,"3,429","106,294","323,717,635",7.4%,20%,15%,538
18,209,ASN-QWEST,"Qwest Communications Company, LLC",Tr/Ac,"3,273","53,135","346,753,468",7.0%,10%,16%,1610
19,20485,TRANSTELECOM,Closed Joint Stock Company TransTeleCom,Tr/Ac,"3,172","25,208","41,609,747",6.8%,4.8%,1.9%,1416
20,9002,RETN-AS,RETN Limited,Tr/Ac,"2,776","19,112","26,199,591",6.0%,3.6%,1.2%,1142
21,4323,TWTC,"tw telecom holdings, inc.",Tr/Ac,"2,286","24,645","48,129,312",4.9%,4.7%,2.2%,1965
22,12389,ROSTELECOM-AS,OJSC Rostelecom,Tr/Ac,"2,033","15,555","32,519,436",4.4%,2.9%,1.5%,626
23,7473,SINGTEL-AS-AP,Singapore Telecommunications Ltd,Tr/Ac,"1,900","59,233","154,900,550",4.1%,11%,7.2%,285
24,3216,SOVAM-AS,"OJSC ""Vimpelcom""",Tr/Ac,"1,785","11,464","18,829,447",3.8%,2.2%,0.88%,818
25,8359,MTS,MTS OJSC,Tr/Ac,"1,772","9,068","15,026,467",3.8%,1.7%,0.70%,567
26,31133,MF-MGSM-AS,OJSC MegaFon,Tr/Ac,"1,718","11,066","20,613,122",3.7%,2.1%,0.96%,1321
27,20562,OPEN-PEERI...,"Open Peering Initiative, Amsterdam, The Netherlands",Tr/Ac,"1,630","43,222","198,350,893",3.5%,8.2%,9.2%,335
28,7922,COMCAST-7922,"Comcast Cable Communications, Inc.",Tr/Ac,"1,513","19,110","121,878,288",3.3%,3.6%,5.7%,161
29,8928,INTEROUTE,Interoute Communications Limited,Tr/Ac,"1,344","13,845","55,329,697",2.9%,2.6%,2.6%,645
30,12956,Telefonica,Telefonica Backbone Autonomous System,Tr/Ac,"1,327","41,029","142,188,880",2.9%,7.8%,6.6%,173
31,10026,PACNET,Pacnet Global Ltd,Tr/Ac,"1,200","46,948","165,899,633",2.6%,8.9%,7.7%,515
32,3561,SAVVIS,Savvis,Tr/Ac,"1,200","35,952","274,046,132",2.6%,6.8%,12%,281
33,5511,Opentransit,Orange S.A.,Tr/Ac,"1,199","30,554","147,111,807",2.6%,5.8%,6.9%,152
34,9498,BBIL-AP,BHARTI Airtel Ltd.,Tr/Ac,"1,152","39,565","101,719,844",2.5%,7.5%,4.7%,538
35,702,UUNET,"MCI Communications Services, Inc. d/b/a Verizon Business",Tr/Ac,"1,114","13,448","35,712,396",2.4%,2.5%,1.7%,354
36,4436,AS-GTT-4436,"nLayer Communications, Inc.",Tr/Ac,"1,050","23,601","71,568,673",2.3%,4.5%,3.3%,319
37,286,KPN,KPN International / KPN Eurorings,Tr/Ac,"1,036","16,264","68,152,234",2.2%,3.1%,3.2%,314
38,22388,TRANSPAC,Indiana University,Tr/Ac,981,"12,143","129,717,073",2.1%,2.3%,6.0%,11
39,2516,KDDI,KDDI CORPORATION,Tr/Ac,968,"30,286","220,336,784",2.1%,5.7%,10%,335
40,15412,FLAG-AS,Reliance Globalcom Limited,Tr/Ac,959,"36,361","74,156,624",2.1%,6.9%,3.5%,272
41,20764,RASCOM-AS,"CJSC Rascom, St.Petersburg, Russia",Tr/Ac,939,"4,380","9,112,065",2.0%,0.83%,0.42%,338
42,11537,ABILENE,Internet2,Tr/Ac,898,"11,546","123,679,638",1.9%,2.2%,5.8%,99
43,4766,KIXS-AS-KR,Korea Telecom,Tr/Ac,891,"33,590","337,311,046",1.9%,6.3%,15%,443
44,9318,HANARO-AS,SK Broadband ( formely as Hanaro Telecom Inc.),Tr/Ac,846,"27,784","80,227,988",1.8%,5.2%,3.7%,371
45,4637,ASN-TELSTR...,Telstra Global,Tr/Ac,820,"23,130","83,055,568",1.8%,4.4%,3.9%,224
46,7843,TWCABLE-BA...,Time Warner Cable Internet LLC,Tr/Ac,774,"9,811","54,043,200",1.7%,1.9%,2.5%,59
47,29076,CITYTELECO...,"Filanco, ltd.",Co,768,"3,657","5,135,111",1.7%,0.69%,0.24%,593
48,13030,INIT7,Init7 (Switzerland) Ltd.,Tr/Ac,762,"17,758","70,915,917",1.6%,3.4%,3.3%,448
49,9304,HUTCHISON-...,Hutchison Global Communications,Tr/Ac,758,"24,071","74,348,800",1.6%,4.5%,3.5%,275
50,50384,W-IX_LTD,W-IX LTD,Tr/Ac,740,"12,547","28,604,389",1.6%,2.4%,1.3%,339
51,5588,GTSCE,GTS Czech s.r.o.,Tr/Ac,709,"2,849","5,148,167",1.5%,0.54%,0.24%,631
52,8220,COLT,COLT Technology Services Group Limited,Tr/Ac,704,"4,792","45,816,968",1.5%,0.91%,2.1%,777
53,18881,(no data),Global Village Telecom,Tr/Ac,698,"9,426","11,290,896",1.5%,1.8%,0.53%,626
54,21219,Datagroup,"PRIVATE JOINT STOCK COMPANY ""DATAGROUP""",Tr/Ac,689,"4,100","3,903,808",1.5%,0.77%,0.18%,404
55,6830,LGI-UPC,Liberty Global Operations B.V.,Tr/Ac,679,"3,264","18,729,152",1.5%,0.62%,0.87%,633
56,5580,HIBERNIA,"Atrato Communications, Inc.",Tr/Ac,624,"8,705","14,957,649",1.3%,1.6%,0.70%,753
57,52320,(no data),"Brasil Telecom de Venezuela, S.A.",Tr/Ac,574,"10,726","15,221,376",1.2%,2.0%,0.71%,67
58,16735,(no data),ALGAR TELECOM S/A,Tr/Ac,570,"8,559","31,875,072",1.2%,1.6%,1.5%,553
59,4713,OCN,NTT Communications Corporation,Tr/Ac,567,"18,514","196,578,384",1.2%,3.5%,9.2%,159
60,12741,AS-NETIA,Netia SA,Tr/Ac,563,"1,699","21,670,464",1.2%,0.32%,1.0%,495
61,11164,INTERNET2-...,Internet2,Tr/Ac,556,"4,042","94,086,304",1.2%,0.76%,4.4%,119
62,6772,IMPNET-AS,ImproWare AG,Tr/Ac,549,"17,066","67,561,647",1.2%,3.2%,3.1%,26
63,4755,TATACOMM-AS,TATA Communications formerly VSNL is Leading ISP,Tr/Ac,544,"23,213","31,901,524",1.2%,4.4%,1.5%,390
64,8218,NEO-ASN,Neo Telecoms S.A.S.,Tr/Ac,535,"2,559","6,762,160",1.2%,0.48%,0.31%,594
65,7474,OPTUSCOM-A...,SingTel Optus Pty Ltd,Tr/Ac,529,"11,767","50,035,920",1.1%,2.2%,2.3%,170
66,28917,Fiord-AS,"JSC ""TRC FIORD""",Tr/Ac,524,"3,423","3,658,048",1.1%,0.65%,0.17%,1071
67,12874,FASTWEB,Fastweb SpA,Tr/Ac,523,"6,455","62,166,877",1.1%,1.2%,2.9%,478
68,4826,VOCUS-BACK...,Vocus Connect International Backbone,Tr/Ac,513,"6,841","10,868,992",1.1%,1.3%,0.51%,312
69,8657,CPRM,PT Comunicacoes S A,Tr/Ac,500,"8,083","22,524,816",1.1%,1.5%,1.0%,350
70,24724,ATMAN-Fore...,ATM S.A.,Tr/Ac,497,"1,350","2,412,800",1.1%,0.26%,0.11%,208
71,7545,TPG-INTERN...,TPG Telecom Limited,Tr/Ac,465,"10,992","17,365,700",1.0%,2.1%,0.81%,61
72,22773,ASN-CXA-AL...,Cox Communications Inc.,Tr/Ac,463,"7,582","20,738,688",1.00%,1.4%,0.97%,465
73,7029,WINDSTREAM,Windstream Communications Inc,Tr/Ac,462,"8,437","31,042,816",0.99%,1.6%,1.4%,472
74,3303,SWISSCOM,Swisscom (Switzerland) Ltd,Tr/Ac,462,"2,761","18,452,752",0.99%,0.52%,0.86%,459
75,3209,VODANET,Vodafone GmbH,Tr/Ac,444,"9,786","28,442,368",0.96%,1.8%,1.3%,191
76,16265,Leaseweb-N...,LeaseWeb B.V.,Co,441,"23,578","107,484,535",0.95%,4.5%,5.0%,339
77,35320,ETT-AS,Eurotranstelecom Ltd,Tr/Ac,434,"3,132","2,416,643",0.93%,0.59%,0.11%,192
78,7738,(no data),Telemar Norte Leste S.A.,Tr/Ac,431,"7,618","18,881,570",0.93%,1.4%,0.88%,183
