as_rank,as_number,as_name,org_name,as_type,no_ases,no_ip4_prefixes,no_ip4_addresses,pc_ases,pc_ip4_prefixes,pc_ip4_addresses,as_transit_degree
30,7922,COMCAST-7922,"Comcast Cable Communications, Inc.",Tr/Ac,"1,234","18,495","141,657,344",2.7%,3.8%,6.6%,160
31,702,UUNET,African Network Information Center,Tr/Ac,"1,203","14,142","50,460,465",2.6%,2.9%,2.3%,367
32,286,KPN,KPN Internet Backbone,Tr/Ac,"1,190","13,039","72,743,611",2.6%,2.7%,3.4%,296
33,12956,Telefonica,Telefonica Backbone Autonomous System,Tr/Ac,"1,096","34,253","121,727,276",2.4%,7.0%,5.7%,160
34,5511,Opentransit,"BT ESPANA, COMPANIA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, SA",Tr/Ac,"1,060","16,174","111,988,299",2.3%,3.3%,5.2%,151
35,9304,HUTCHISON-...,Hutchison Global Crossing Ltd.,Tr/Ac,"1,012","24,259","107,469,786",2.2%,5.0%,5.0%,255
36,20562,OPEN-PEERI...,"Open Peering Initiative, Amsterdam, The Netherlands",Tr/Ac,"1,003","18,312","116,286,912",2.2%,3.8%,5.4%,317
37,15412,FLAG-AS,Reliance Globalcom Limited,Tr/Ac,987,"26,936","74,582,374",2.2%,5.5%,3.5%,283
38,2516,KDDI,Asia Pacific Network Information Centre,Tr/Ac,975,"28,847","264,203,493",2.1%,5.9%,12%,340
39,21219,Datagroup,"PRIVATE JOINT STOCK COMPANY ""DATAGROUP""",Tr/Ac,923,"4,984","4,962,560",2.0%,1.0%,0.23%,396
40,4766,KIXS-AS-KR,Korea Telecom,Tr/Ac,918,"27,003","330,683,802",2.0%,5.6%,15%,438
41,10026,PACNET,Pacnet Global Ltd.,Tr/Ac,858,"25,796","163,884,986",1.9%,5.3%,7.6%,390
42,18881,LACNIC-18881,Latin American and Caribbean IP address Regional Registry,Tr/Ac,849,"12,967","23,370,884",1.9%,2.7%,1.1%,422
43,22388,TRANSPAC,Indiana University,Tr/Ac,795,"7,296","102,260,828",1.8%,1.5%,4.8%,12
44,11537,ABILENE,Internet2,Tr/Ac,716,"6,624","78,584,620",1.6%,1.4%,3.7%,83
45,29076,CITYTELECO...,"Filanco, ltd.",Co,716,"3,462","5,126,912",1.6%,0.71%,0.24%,408
46,9498,BBIL-AP,Bharti Airtel Ltd. AS for GPRS Service,Tr/Ac,710,"26,160","46,291,216",1.6%,5.4%,2.2%,455
47,4637,ASN-TELSTR...,Telstra Global - Customer AS Number,Tr/Ac,691,"17,136","76,640,468",1.5%,3.5%,3.6%,227
48,8732,COMCOR-AS,Moscow Telecommunication Corporation (COMCOR),Tr/Ac,661,"2,228","4,493,056",1.5%,0.46%,0.21%,286
49,8220,COLT,MEDIACTIVE NETWORK,Tr/Ac,655,"4,070","43,895,808",1.4%,0.84%,2.0%,638
50,6830,LGI-UPC,Liberty Global Operations BV,Tr/Ac,654,"3,563","17,065,408",1.4%,0.73%,0.79%,649
51,7843,TWCABLE-BA...,Time Warner Cable Internet LLC,Tr/Ac,620,"8,127","48,196,800",1.4%,1.7%,2.2%,59
52,12741,INTERNETIA-AS,Netia SA,Tr/Ac,581,"1,647","3,522,880",1.3%,0.34%,0.16%,473
53,11164,INTERNET2-...,California State University Network,Tr/Ac,572,"3,788","82,501,664",1.3%,0.78%,3.8%,120
54,7474,OPTUSCOM-A...,SingTel Optus Pty Ltd,Tr/Ac,571,"14,362","54,088,512",1.3%,3.0%,2.5%,161
55,16735,LACNIC-16735,Companhia de Telecomunicacoes do Brasil Central,Tr/Ac,566,"4,850","21,409,088",1.2%,1.00%,1.00%,445
56,4713,APNIC-AS-B...,Asia Pacific Network Information Centre,Tr/Ac,551,"14,815","191,187,092",1.2%,3.0%,8.9%,158
57,4755,TATACOMM-AS,ISPA SA,Tr/Ac,535,"19,871","32,916,030",1.2%,4.1%,1.5%,355
58,5580,ATRATO,BICS (Belgacom International Carrier Services),Tr/Ac,534,"5,997","7,913,856",1.2%,1.2%,0.37%,791
59,8218,NEO-ASN,Neo Telecoms S.A.S.,Tr/Ac,533,"2,600","6,470,600",1.2%,0.53%,0.30%,675
60,28917,Fiord-AS,OJSC Montazh,Tr/Ac,527,"2,191","2,456,640",1.2%,0.45%,0.11%,595
61,9121,TTNet,Turk Telekomunikasyon Anonim Sirketi,Tr/Ac,526,"12,688","25,852,160",1.2%,2.6%,1.2%,200
62,20764,RASCOM-AS,"CJSC Rascom, St.Petersburg, Russia",Tr/Ac,502,"2,832","5,092,928",1.1%,0.58%,0.24%,147
63,4826,VOCUS-BACK...,Vocus National DSL Network,Tr/Ac,501,"7,382","9,686,272",1.1%,1.5%,0.45%,245
64,22773,ASN-CXA-AL...,Cox Communications Inc.,Tr/Ac,483,"7,417","24,992,576",1.1%,1.5%,1.2%,444
65,3255,UARNET-AS,"State Enterprise Scientific and Telecommunication Centre ""Ukrainian Academic and",Tr/Ac,454,"1,716","1,659,648",1.00%,0.35%,0.08%,228
66,3786,LGDACOM,LG DACOM Corporation,Tr/Ac,449,"10,729","50,548,513",0.99%,2.2%,2.4%,356
67,2603,NORDUNET,California State University Network,Tr/Ac,446,"2,024","15,513,856",0.98%,0.42%,0.72%,369
68,4648,NZIX-2,Netgate,Tr/Ac,437,"5,937","12,532,736",0.96%,1.2%,0.58%,80
69,35320,ETT-AS,Eurotranstelecom Ltd,Tr/Ac,435,"2,805","4,072,704",0.96%,0.58%,0.19%,178
70,8657,CPRM,Unidade de Tecnologias de Informacao de Seguranca,Tr/Ac,418,"5,968","18,773,568",0.92%,1.2%,0.87%,378
71,3209,VODANET,Cable&Wireless Worldwide,Tr/Ac,417,"7,023","29,311,744",0.92%,1.4%,1.4%,190
72,6128,CABLE-NET-1,Cablevision Systems Corp.,Tr/Ac,414,"3,935","9,763,904",0.91%,0.81%,0.45%,444
73,24724,ATMAN-Fore...,ATM S.A.,Tr/Ac,413,"1,090","4,278,528",0.91%,0.22%,0.20%,183
74,9318,HANARO-AS,SK Broadband ( formely as Hanaro Telecom Inc.),Tr/Ac,394,"12,280","39,126,233",0.87%,2.5%,1.8%,335
75,2764,AAPT,RequestDSL BGP AS# for Perth POA,Tr/Ac,391,"8,942","12,559,168",0.86%,1.8%,0.58%,177
76,5588,GTSCE,GTS Czech Republic Transit AS,Tr/Ac,390,"1,798","3,646,464",0.86%,0.37%,0.17%,178
77,1221,ASN-TELSTRA,Amnet IT Services Pty Ltd,Tr/Ac,376,"11,804","55,708,756",0.83%,2.4%,2.6%,172
78,7738,LACNIC-7738,Latin American and Caribbean IP address Regional Registry,Tr/Ac,374,"5,829","15,602,496",0.82%,1.2%,0.73%,214
79,8744,STARTTELEC...,JSC Start Telecom,Tr/Ac,370,"2,628","6,708,224",0.81%,0.54%,0.31%,136
80,26615,LACNIC-26592,Latin American and Caribbean IP address Regional Registry,Tr/Ac,367,"5,348","17,534,528",0.81%,1.1%,0.82%,98
81,577,BACOM,Bell Canada,Tr/Ac,363,"8,762","15,790,080",0.80%,1.8%,0.74%,224
82,50384,W-IX_LTD,W-IX LTD,Tr/Ac,345,"1,727","3,325,952",0.76%,0.36%,0.15%,962
83,4134,CHINANET-B...,"No.31,Jin-rong Street",Tr/Ac,342,"18,328","297,002,048",0.75%,3.8%,13%,99
84,41095,IPTP,ONEXIM Group Ltd.,Tr/Ac,341,"1,662","9,785,856",0.75%,0.34%,0.46%,92
85,7029,WINDSTREAM,Windstream Communications Inc,Tr/Ac,338,"9,286","14,375,168",0.74%,1.9%,0.67%,156
86,46786,IPTRANSIT,IP Transit Inc.,Tr/Ac,337,"1,421","1,885,440",0.74%,0.29%,0.09%,109
87,21011,TOPNET,"""TOP NET"" PJSC",Tr/Ac,333,"2,109","1,209,088",0.73%,0.43%,0.06%,198
88,13237,LAMBDANET-AS,Neo Telecoms S.A.S.,Tr/Ac,331,"1,801","7,037,952",0.73%,0.37%,0.33%,257
89,2497,APNIC-AS-X...,Asia Pacific Network Information Centre,Tr/Ac,327,"5,352","52,662,464",0.72%,1.1%,2.5%,270
90,4725,APNIC-AS-B...,Asia Pacific Network Information Centre,Tr/Ac,323,"6,399","77,547,264",0.71%,1.3%,3.6%,131
91,8246,GTS-POLSKA-AS,STUDIO WIK s.c. Krzysztof Lopata Maria Lopata,Tr/Ac,322,994,"1,369,088",0.71%,0.20%,0.06%,286
92,12883,UCOMLINE,"PRIVATE JOINT-STOCK COMPANY ""FARLEP-INVEST""",Tr/Ac,319,"1,437","1,957,888",0.70%,0.30%,0.09%,146
93,13249,ITS-UA,PFTS Stock Exchange,Tr/Ac,315,"1,094","1,612,544",0.69%,0.23%,0.08%,126
94,6663,TTI-NET,NET-CONNECT INTERNET S.R.L.,Tr/Ac,312,"5,937","8,033,344",0.69%,1.2%,0.37%,232
95,9505,TWGATE-AP,Taiwan Internet Gateway,Tr/Ac,307,"8,554","44,936,640",0.68%,1.8%,2.1%,139
96,28513,(no data),Uninet S.A. de C.V.,Tr/Ac,302,"11,128","24,325,892",0.66%,2.3%,1.1%,11
97,8167,LACNIC-8167,Latin American and Caribbean IP address Regional Registry,Tr/Ac,302,"4,594","8,940,096",0.66%,0.95%,0.42%,224
98,20965,GEANT,DANTE Ltd,Tr/Ac,299,"3,212","20,466,828",0.66%,0.66%,0.95%,58
99,5400,BT,"BT ESPANA, COMPANIA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, SA",Tr/Ac,291,"2,201","26,867,712",0.64%,0.45%,1.3%,156
100,5617,TPNET,Telekomunikacja Polska S.A.,Tr/Ac,278,"1,820","7,257,600",0.61%,0.37%,0.34%,266
101,10429,(no data),Telefonica Data S.A.,Tr/Ac,274,"4,340","29,721,856",0.60%,0.89%,1.4%,131
102,39792,ANDERS-AS,Anders Telecom Ltd.,Tr/Ac,274,"1,092","1,153,792",0.60%,0.22%,0.05%,175
103,3267,RUNNET,"Federal State Educational Institution of Higher Professional Education ""Saratov",Tr/Ac,269,"1,117","2,108,160",0.59%,0.23%,0.10%,251
104,34224,NETERRA-AS,i:FAO Bulgaria EOOD,Tr/Ac,268,"5,597","9,742,080",0.59%,1.2%,0.45%,168
105,251,KAIAGLOBAL-AS,Kaia Global Networks Ltd.,Tr/Ac,268,"2,242","4,269,632",0.59%,0.46%,0.20%,75
106,1785,AS-PAETEC-NET,"PaeTec Communications, Inc.",Tr/Ac,267,"2,991","4,732,672",0.59%,0.62%,0.22%,294
107,20115,CHARTER-NE...,Charter Communications,Tr/Ac,266,"4,604","11,799,456",0.59%,0.95%,0.55%,251
108,3303,SWISSCOM,Swisscom (Switzerland) Ltd,Tr/Ac,264,"3,418","15,349,443",0.58%,0.70%,0.71%,471
109,3292,TDC,African Network Information Center,Tr/Ac,263,"1,430","11,976,704",0.58%,0.29%,0.56%,277
110,13030,INIT7,"BT ESPANA, COMPANIA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, SA",Tr/Ac,262,"2,590","7,701,824",0.58%,0.53%,0.36%,528
111,9050,RTD,Raiffeisen Bank S.A.,Tr/Ac,259,"2,478","3,923,456",0.57%,0.51%,0.18%,257
112,25973,PACKETEXCH...,"PacketExchange, Inc",Tr/Ac,254,"8,206","39,676,800",0.56%,1.7%,1.8%,40
113,8708,RCS-RDS,RCS & RDS SA,Tr/Ac,254,726,"2,716,672",0.56%,0.15%,0.13%,324
114,4230,LACNIC-4230,Latin American and Caribbean IP address Regional Registry,Tr/Ac,253,"6,471","16,577,860",0.56%,1.3%,0.77%,236
115,4788,TMNET-AS-AP,"TM Net, Internet Service Provider",Tr/Ac,252,"7,265","14,121,280",0.55%,1.5%,0.66%,155
116,262589,(no data),INTERNEXA Brasil Operadora de Telecomunicações S.A,Tr/Ac,249,"3,437","2,467,584",0.55%,0.71%,0.11%,85
117,12880,DCI-AS,Information Technology Company (ITC),Co,237,"2,742","8,123,136",0.52%,0.56%,0.38%,107
118,703,UUNET,African Network Information Center,Tr/Ac,235,"3,519","9,798,912",0.52%,0.72%,0.46%,134
119,23520,COLUMBUS-N...,"Columbus Networks USA, Inc.",Tr/Ac,232,"12,179","20,542,324",0.51%,2.5%,0.96%,142
120,8529,OMANTEL-AS,OmanTel NAP,Tr/Ac,230,"6,215","9,784,064",0.51%,1.3%,0.46%,73
121,5483,HTC-AS,Magyar Telekom plc.,Tr/Ac,227,"4,831","7,898,112",0.50%,0.99%,0.37%,165
122,42632,MNOGOBYTE-AS,MnogoByte LLC,Tr/Ac,225,"2,074","4,547,328",0.50%,0.43%,0.21%,85
123,7545,TPG-INTERN...,Soul Pattinson Telecommunications Pty Ltd,Tr/Ac,224,"4,947","4,739,392",0.49%,1.0%,0.22%,130
124,29049,Delta-Tele...,Delta Telecom Ltd.,Tr/Ac,224,"3,681","9,191,936",0.49%,0.76%,0.43%,99
125,6327,SHAW,Shaw Communications Inc.,Tr/Ac,224,"3,523","11,944,048",0.49%,0.72%,0.56%,208
126,5541,AdNet-Telecom,S.C. Karma Net Media SRL,Tr/Ac,220,"4,282","4,137,216",0.48%,0.88%,0.19%,158
127,18101,RELIANCE-C...,Reliance Globalcom Limited,Tr/Ac,217,"7,610","14,242,094",0.48%,1.6%,0.66%,191
128,34984,TELLCOM-AS,HayatNet Bilgi ve Iletisim Hizmetleri A.S,Tr/Ac,217,"5,033","9,645,568",0.48%,1.0%,0.45%,133
129,24785,JOINTTRANS...,Open Peering BV trading as Joint Transit,Tr/Ac,215,"1,002","9,002,240",0.47%,0.21%,0.42%,169
130,1257,SWIPNET,Tele2 Sverige AB,Tr/Ac,214,"2,119","11,396,544",0.47%,0.44%,0.53%,140
131,7385,INTEGRATEL...,"Integra Telecom, Inc.",Tr/Ac,212,"2,404","10,718,976",0.47%,0.49%,0.50%,238
132,43727,KVANT-TELECOM,KVANT-TELEKOM Closed Joint Stock Company,Tr/Ac,212,881,"976,896",0.47%,0.18%,0.05%,81
133,29208,DIALTELECO...,"Dial Telecom, a.s.",Tr/Ac,212,771,"1,861,120",0.47%,0.16%,0.09%,744
134,45147,NAPINFO-TR...,PT. NAP Info Lintas Nusa,Tr/Ac,211,"3,385","1,049,600",0.46%,0.70%,0.05%,79
135,10796,SCRR-10796,Time Warner Cable Internet LLC,Co,209,"2,641","16,053,632",0.46%,0.54%,0.75%,184
136,5089,NTL,Cable&Wireless Worldwide,Tr/Ac,207,"5,401","67,289,646",0.46%,1.1%,3.1%,233
137,19151,WVFIBER-1,"Continental Broadband Florida, Inc DBA WebUnited",Tr/Ac,207,"4,262","11,047,744",0.46%,0.88%,0.51%,992
138,2152,CSUNET-NW,California State University Network,Tr/Ac,203,"5,422","88,585,280",0.45%,1.1%,4.1%,83
139,13789,INTERNAP-BLK3,Internap Network Services Corporation,Tr/Ac,202,"2,783","2,684,418",0.44%,0.57%,0.13%,167
140,4651,THAI-GATEWAY,"CAT TELECOM Public Company Ltd,CAT",Tr/Ac,200,"4,456","7,526,976",0.44%,0.92%,0.35%,105
141,12989,HWNG,Eweka Internet Services B.V.,Tr/Ac,197,"6,184","8,512,864",0.43%,1.3%,0.40%,833
142,22561,DIGITAL-TE...,Qwest Corporation,Tr/Ac,192,"4,532","7,117,824",0.42%,0.93%,0.33%,79
143,46887,LIGHTOWER,"Veroxity Technology Partners, Inc.",Tr/Ac,191,"2,229","3,735,328",0.42%,0.46%,0.17%,176
144,19401,NLR,Indiana University,En,191,"1,480","54,040,928",0.42%,0.30%,2.5%,56
145,12578,APOLLO-AS,"VAS ""Latvijas Valsts radio un televizijas centrs""",Tr/Ac,189,"1,344","2,946,048",0.42%,0.28%,0.14%,159
146,721,DNIC-ASBLK...,DoD Network Information Center,Tr/Ac,187,"6,031","81,809,152",0.41%,1.2%,3.8%,4
147,8866,BTC-AS,MOBILTEL EAD,Tr/Ac,187,"2,604","1,917,184",0.41%,0.54%,0.09%,193
148,8342,RTCOMM-AS,Open Joint Stock Commercial Bank Rosbank (OJSC),Tr/Ac,183,970,"2,257,152",0.40%,0.20%,0.11%,53
149,44953,ISICONNEXION,Open for Support Nederland B.V.,Tr/Ac,181,"1,224","6,194,432",0.40%,0.25%,0.29%,336
150,19092,360NETWORK...,Onvoy,Tr/Ac,177,"2,561","4,687,296",0.39%,0.53%,0.22%,55
151,15290,ALLST-15290,Allstream Corp.,Tr/Ac,177,"1,700","4,606,208",0.39%,0.35%,0.21%,181
152,13768,PEER1,Peer 1 Network Inc.,Tr/Ac,175,"2,987","7,045,568",0.39%,0.61%,0.33%,177
153,7713,telkomnet-...,PT Telekomunikasi Indonesia,Tr/Ac,174,"4,828","13,013,552",0.38%,0.99%,0.61%,163
154,852,ASN852,TELUS Communications Inc.,Tr/Ac,173,"3,268","11,473,088",0.38%,0.67%,0.53%,165
155,5603,SIOL-NET,Telekom Slovenije d.d.,Tr/Ac,173,862,"2,337,536",0.38%,0.18%,0.11%,112
156,12874,FASTWEB,ENI S.p.A.,Tr/Ac,173,750,"4,656,896",0.38%,0.15%,0.22%,480
157,8881,VERSATEL,Versatel Deutschland GmbH,Tr/Ac,171,870,"2,842,368",0.38%,0.18%,0.13%,224
158,812,ROGERS-CABLE,Rogers Cable Communications Inc.,Tr/Ac,170,"2,410","8,180,984",0.37%,0.50%,0.38%,105
159,7303,LACNIC-7303,Latin American and Caribbean IP address Regional Registry,Tr/Ac,169,"5,351","10,855,808",0.37%,1.1%,0.51%,110
160,4657,STARHUBINT...,StarHub Internet Exchange,Tr/Ac,164,"5,603","20,724,040",0.36%,1.2%,0.97%,155
161,11404,AS-VOBIZ,Condointernet.net,Tr/Ac,162,"2,444","5,221,632",0.36%,0.50%,0.24%,99
162,1764,NEXTLAYER-AS,MEDIACTIVE NETWORK,Tr/Ac,162,551,"2,513,664",0.36%,0.11%,0.12%,426
163,2854,ROSPRINT-AS,LLC Equant,Tr/Ac,160,"1,119","3,705,408",0.35%,0.23%,0.17%,170
164,5606,KQRO,GTS Telecom SRL,Tr/Ac,160,838,"603,136",0.35%,0.17%,0.03%,122
165,2856,BT-UK-AS,BTnet UK Regional network,Tr/Ac,159,"1,213","14,150,912",0.35%,0.25%,0.66%,188
166,8400,TELEKOM-AS,Serbian Open Exchange DOO,Tr/Ac,157,"1,427","2,209,280",0.35%,0.29%,0.10%,139
167,12714,TI-AS,Net By Net Holding LLC,Tr/Ac,157,736,"2,018,816",0.35%,0.15%,0.09%,386
168,196844,PIONIER-AS...,"Institute of Bioorganic Chemistry Polish Academy of Science, Poznan Supercomputi",Tr/Ac,156,507,"1,306,880",0.34%,0.10%,0.06%,66
169,27064,DNIC-ASBLK...,DoD Network Information Center,Tr/Ac,155,"5,303","20,582,656",0.34%,1.1%,0.96%,138
170,8717,SPECTRUMNET,MOBILTEL EAD,Tr/Ac,155,765,"936,704",0.34%,0.16%,0.04%,194
171,13293,PIONIER-AS...,"Institute of Bioorganic Chemistry Polish Academy of Science, Poznan Supercomputi",Tr/Ac,153,510,"1,074,432",0.34%,0.10%,0.05%,22
172,22822,LLNW,"Limelight Networks, Inc.",Co,152,"3,053","40,840,928",0.33%,0.63%,1.9%,136
173,48159,TIC-AS,Telecommunication Infrastructure Company,Tr/Ac,152,"1,994","6,360,832",0.33%,0.41%,0.30%,35
174,9901,TELSTRA-NZ...,TelstraClear Ltd,Tr/Ac,152,"1,299","3,203,328",0.33%,0.27%,0.15%,32
175,21127,ZSTTKAS,"VAS ""Latvijas Valsts radio un televizijas centrs""",Tr/Ac,151,"1,323","1,086,208",0.33%,0.27%,0.05%,121
176,20804,ASN-TELENERGO,PGE Energia Odnawialna Spolka Akcyjna,Tr/Ac,151,574,"803,072",0.33%,0.12%,0.04%,172
177,4761,INDOSAT-IN...,INDOSAT Internet Network Provider,Tr/Ac,150,"2,298","3,942,144",0.33%,0.47%,0.18%,144
178,24130,PIPETRANSI...,"PIPE Networks operate internet exchanges in Brisbane,",Tr/Ac,150,"1,065","1,006,336",0.33%,0.22%,0.05%,151
179,9198,KAZTELECOM-AS,JSC Kazakhtelecom,Tr/Ac,149,"1,688","2,973,440",0.33%,0.35%,0.14%,61
180,3269,ASN-IBSNAZ,Societa per i Servizi Bancari - SSB S.P.A.,Tr/Ac,149,"1,021","22,612,480",0.33%,0.21%,1.1%,138
181,39737,NETVISION-AS,SC CUBE PROGRAMS & SYSTEMS SRL,Tr/Ac,149,"1,019","778,496",0.33%,0.21%,0.04%,186
182,9049,ERTH-TRANS...,"CJSC ""ER-Telecom Holding""",Tr/Ac,147,"1,945","2,538,496",0.32%,0.40%,0.12%,137
183,12695,DINET-AS,IPport ZAO,Tr/Ac,146,"1,303","1,367,040",0.32%,0.27%,0.06%,119
184,15694,ATMAN-ISP-AS,ATM S.A.,Tr/Ac,145,340,"431,360",0.32%,0.07%,0.02%,136
185,8551,BEZEQ-INTE...,Bezeq International-Ltd,Tr/Ac,141,"3,193","22,571,779",0.31%,0.66%,1.1%,193
186,38082,IIT-TIG-AS-AP,"True International Gateway Co., Ltd.",Tr/Ac,136,"2,008","3,497,217",0.30%,0.41%,0.16%,100
187,2153,CSUNET-NE,California State University Network,Tr/Ac,136,963,"27,664,896",0.30%,0.20%,1.3%,45
188,8447,TELEKOM-AT,MEDIACTIVE NETWORK,Tr/Ac,136,454,"4,051,712",0.30%,0.09%,0.19%,757
189,4837,CHINA169-B...,CNCGROUP China169 Backbone,Tr/Ac,135,"6,283","86,400,576",0.30%,1.3%,4.0%,70
190,6774,ASN-BICS,BICS (Belgacom International Carrier Services),Tr/Ac,135,"1,021","5,362,176",0.30%,0.21%,0.25%,109
191,11427,SCRR-11427,Time Warner Cable Internet LLC,Co,132,"1,431","6,603,264",0.29%,0.29%,0.31%,114
192,6739,ONO-AS,"BT ESPANA, COMPANIA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, SA",Tr/Ac,129,"1,037","4,188,160",0.28%,0.21%,0.20%,94
193,6509,CANARIE-NTN,Canarie Inc,Tr/Ac,126,"1,266","7,656,560",0.28%,0.26%,0.36%,30
194,25478,IHOME-AS,iHome LLC,Tr/Ac,124,432,"983,808",0.27%,0.09%,0.05%,68
195,33491,COMCAST-33491,"Comcast Cable Communications, Inc.",Tr/Ac,123,775,"708,864",0.27%,0.16%,0.03%,114
196,31042,SERBIA-BRO...,Serbia BroadBand-Srpske Kablovske mreze d.o.o.,Tr/Ac,123,349,"1,038,592",0.27%,0.07%,0.05%,115
197,3758,ERX-SINGNET,SingNet,Tr/Ac,122,"2,277","36,433,198",0.27%,0.47%,1.7%,82
198,8501,PIONIER-AS,"Institute of Bioorganic Chemistry Polish Academy of Science, Poznan Supercomputi",Tr/Ac,121,483,"1,562,624",0.27%,0.10%,0.07%,39
199,15772,WNET,"LLC ""WNET UKRAINE""",Tr/Ac,120,"1,410","800,768",0.26%,0.29%,0.04%,90
200,33926,KAIAGLOBAL-AS,Kaia Global Networks Ltd.,Tr/Ac,120,721,"1,852,928",0.26%,0.15%,0.09%,36
201,20960,TKTELEKOM-AS,STUDIO WIK s.c. Krzysztof Lopata Maria Lopata,Tr/Ac,120,324,"618,496",0.26%,0.07%,0.03%,108
202,33891,CORE-BACKBONE,eruxo llc,Tr/Ac,118,578,"2,529,280",0.26%,0.12%,0.12%,114
203,12182,INTERNAP-2BLK,Internap Network Services Corporation,Co,117,"2,054","18,299,984",0.26%,0.42%,0.85%,109
204,11096,FLORIDANET,FloridaNet,Tr/Ac,116,"1,980","7,226,440",0.26%,0.41%,0.34%,72
205,31500,GLOBALNET-AS,JSC MasterTel North-West,Tr/Ac,116,"1,020","1,099,520",0.26%,0.21%,0.05%,121
206,6983,ITCDELTA,ITC^Deltacom,Tr/Ac,115,"2,838","4,690,944",0.25%,0.58%,0.22%,82
207,8641,NAUKANET-AS,"LLC ""Nauka-Svyaz""",Tr/Ac,115,398,"538,624",0.25%,0.08%,0.03%,145
208,3215,AS3215,"BT ESPANA, COMPANIA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, SA",Tr/Ac,114,"1,090","15,980,032",0.25%,0.22%,0.74%,112
