as_rank,as_number,as_name,org_name,as_type,no_ases,no_ip4_prefixes,no_ip4_addresses,pc_ases,pc_ip4_prefixes,pc_ip4_addresses,as_transit_degree
1,3356,LEVEL3,"Level 3 Communications, Inc.",Tr/Ac,"24,090","309,488","1,516,312,847",53%,63%,70%,3896
2,174,COGENT-174,Cogent Communications,Tr/Ac,"16,133","189,285","614,528,318",35%,38%,28%,4137
3,3257,TINET-BACK...,Tinet SpA,Tr/Ac,"15,361","215,968","1,015,816,474",33%,44%,47%,941
4,1299,TELIANET,TeliaSonera AB,Tr/Ac,"14,299","210,277","732,855,750",31%,43%,34%,792
5,2914,NTT-COMMUN...,"NTT America, Inc.",Tr/Ac,"13,200","203,168","819,533,640",29%,41%,38%,1038
6,3549,LVLT-3549,"Level 3 Communications, Inc.",Tr/Ac,"12,299","192,464","643,535,953",27%,39%,29%,1288
7,6762,SEABONE-NET,TELECOM ITALIA SPARKLE S.p.A.,Tr/Ac,"10,139","134,677","420,004,206",22%,27%,19%,304
8,6453,AS6453,ISPA SA,Tr/Ac,"9,976","159,987","619,033,942",21%,32%,28%,667
9,1273,CW,Cable&Wireless Worldwide,Tr/Ac,"5,493","67,191","243,922,730",12%,13%,11%,317
10,6939,HURRICANE,"Hurricane Electric, Inc.",Tr/Ac,"5,481","67,737","279,495,565",12%,13%,13%,3397
11,2828,XO-AS15,XO Communications,Tr/Ac,"5,172","92,548","361,234,209",11%,19%,16%,1066
12,1239,SPRINTLINK,U.S. Sprint,Tr/Ac,"4,886","107,294","707,596,748",10%,22%,32%,761
13,701,UUNET,African Network Information Center,Tr/Ac,"4,404","95,309","814,524,152",9.7%,19%,37%,1647
14,7018,ATT-INTERNET4,"AT&T Services, Inc.",Tr/Ac,"4,002","74,960","506,665,736",8.8%,15%,23%,2368
15,209,ASN-QWEST,Qwest Corporation,Tr/Ac,"3,783","60,462","385,779,792",8.3%,12%,17%,1502
16,3491,BTN-ASN,"Beyond The Network America, Inc.",Tr/Ac,"3,674","92,208","332,733,186",8.1%,18%,15%,576
17,20485,TRANSTELECOM,"JSC ""Transtelecom""",Tr/Ac,"3,038","20,974","36,778,816",6.7%,4.3%,1.7%,945
18,3320,DTAG,Deutsche Telekom AG,Tr/Ac,"3,008","52,589","343,189,351",6.6%,10%,15%,510
19,6461,ABOVENET,"Abovenet Communications, Inc",Tr/Ac,"2,816","36,856","160,499,960",6.2%,7.6%,7.5%,1203
20,12389,ROSTELECOM-AS,OJSC Rostelecom,Tr/Ac,"2,622","21,659","44,499,758",5.8%,4.5%,2.1%,637
21,9002,RETN-AS,RETN Limited,Tr/Ac,"2,532","14,581","21,048,080",5.6%,3.0%,0.98%,1482
22,4323,TWTC,"tw telecom holdings, inc.",Tr/Ac,"2,325","27,767","65,594,734",5.1%,5.7%,3.1%,1709
23,7473,SINGTEL-AS-AP,SingTel Hong Kong Limited,Tr/Ac,"1,793","49,464","137,697,543",3.9%,10%,6.4%,282
24,3216,SOVAM-AS,"OJSC ""Vimpelcom""",Tr/Ac,"1,688","12,281","20,196,142",3.7%,2.5%,0.94%,626
25,3561,SAVVIS,Savvis,Tr/Ac,"1,608","45,976","282,430,549",3.5%,9.5%,13%,294
26,31133,MF-MGSM-AS,OJSC MegaFon,Tr/Ac,"1,468","9,532","20,146,496",3.2%,2.0%,0.94%,1103
27,8359,MTS,MTS OJSC,Tr/Ac,"1,439","7,131","12,377,600",3.2%,1.5%,0.58%,468
28,4436,AS-NLAYER,"nLayer Communications, Inc.",Tr/Ac,"1,427","23,798","68,824,128",3.1%,4.9%,3.2%,397
29,8928,INTEROUTE,MEDIACTIVE NETWORK,Tr/Ac,"1,416","10,705","63,266,016",3.1%,2.2%,2.9%,710
