as_rank,as_number,as_name,org_name,as_type,no_ases,no_ip4_prefixes,no_ip4_addresses,pc_ases,pc_ip4_prefixes,pc_ip4_addresses,as_transit_degree
1,3356,LEVEL3,"Level 3 Communications, Inc.",Tr/Ac,"25,594","344,626","1,403,340,785",51%,61%,65%,4160
2,174,COGENT-174,Cogent Communications,Tr/Ac,"19,833","253,340","755,127,730",39%,45%,35%,4541
3,1299,TELIANET,TeliaSonera International Carrier,Tr/Ac,"18,611","285,782","944,493,523",37%,51%,43%,1010
4,2914,NTT-COMMUN...,"NTT America, Inc.",Tr/Ac,"16,362","258,809","1,009,226,576",32%,46%,46%,1187
5,3257,TINET-BACK...,Tinet Spa,Tr/Ac,"16,105","246,491","781,622,437",32%,44%,36%,1085
6,6453,AS6453,TATA COMMUNICATIONS (AMERICA) INC,Tr/Ac,"9,922","190,676","658,488,346",19%,34%,30%,643
7,6762,SEABONE-NET,TELECOM ITALIA SPARKLE S.p.A.,Tr/Ac,"9,781","144,937","452,139,740",19%,25%,21%,351
8,6939,HURRICANE,"Hurricane Electric, Inc.",Tr/Ac,"7,601","101,422","359,217,756",15%,18%,16%,3703
9,3549,LVLT-3549,"Level 3 Communications, Inc.",Tr/Ac,"7,012","134,168","318,228,283",14%,24%,14%,3663
10,2828,XO-AS15,XO Communications,Tr/Ac,"6,613","111,125","384,171,129",13%,19%,17%,1100
11,3491,BTN-ASN,"Beyond The Network America, Inc.",Tr/Ac,"5,377","132,254","379,413,734",10%,23%,17%,540
12,1273,CW,Cable and Wireless Worldwide plc,Tr/Ac,"5,276","75,953","257,892,914",10%,13%,12%,355
13,701,UUNET,"MCI Communications Services, Inc. d/b/a Verizon Business",Tr/Ac,"4,152","98,604","868,861,921",8.3%,17%,40%,1598
14,1239,SPRINTLINK,Sprint,Tr/Ac,"3,870","99,945","535,618,055",7.8%,17%,24%,667
15,3320,DTAG,Deutsche Telekom AG,Tr/Ac,"3,832","78,190","392,388,278",7.7%,13%,18%,539
16,6461,ABOVENET,"Abovenet Communications, Inc",Tr/Ac,"3,810","46,042","172,987,169",7.6%,8.2%,8.1%,1381
17,7018,ATT-INTERNET4,"AT&T Services, Inc.",Tr/Ac,"3,377","55,747","414,426,269",6.8%,10.0%,19%,2320
18,209,ASN-QWEST,"Qwest Communications Company, LLC",Tr/Ac,"3,254","49,446","299,923,916",6.5%,8.8%,13%,1629
19,9002,RETN-AS,RETN Limited,Tr/Ac,"3,180","21,941","29,375,151",6.4%,3.9%,1.4%,1549
20,20485,TRANSTELECOM,Closed Joint Stock Company TransTeleCom,Tr/Ac,"2,982","24,945","37,326,867",6.0%,4.5%,1.7%,1598
21,4323,TWTC,"tw telecom holdings, inc.",Tr/Ac,"2,394","26,156","49,878,912",4.8%,4.7%,2.3%,2006
22,12389,ROSTELECOM-AS,OJSC Rostelecom,Tr/Ac,"2,363","18,993","37,441,297",4.7%,3.4%,1.7%,632
23,7473,SINGTEL-AS-AP,Singapore Telecommunications Ltd,Tr/Ac,"2,156","70,408","186,552,720",4.3%,12%,8.7%,261
24,3216,SOVAM-AS,"OJSC ""Vimpelcom""",Tr/Ac,"2,086","12,531","18,897,036",4.2%,2.2%,0.88%,816
