as_rank,as_number,as_name,org_name,as_type,no_ases,no_ip4_prefixes,no_ip4_addresses,pc_ases,pc_ip4_prefixes,pc_ip4_addresses,as_transit_degree
25382,40525,CHOC,CHILDRENS HOSPITAL OF ORANGE COUNTY,En,1,2,512,0.00%,0.00%,0.00%,0
25382,56992,New-Internet,"New Internet, Ltd,",En,1,2,512,0.00%,0.00%,0.00%,0
25382,41035,CPH-AS,Banque-CPH SCRL,En,1,2,512,0.00%,0.00%,0.00%,0
25382,21801,JEWELERS,Jewelers Mutual Insurance Company,En,1,2,512,0.00%,0.00%,0.00%,0
25382,11119,CA-WMMERCE...,Mercer (Canada) Limited,En,1,2,512,0.00%,0.00%,0.00%,0
25382,36938,NIRA,Nigeria Internet Registration Association,En,1,2,512,0.00%,0.00%,0.00%,0
25382,37626,OceanBrave-AS,Ocean Brave Nigeria Limited,En,1,2,512,0.00%,0.00%,0.00%,0
25382,31091,LIGA-UA,TOV Informational Analytical Center Liga,En,1,2,512,0.00%,0.00%,0.00%,0
25382,199613,LIVENET-AS,3d0 srl,Co,1,2,512,0.00%,0.00%,0.00%,0
25382,132604,Midland-AS-AP,Midland Bank,En,1,2,512,0.00%,0.00%,0.00%,0
25382,15549,(no data),National information technologies JSC,En,1,2,512,0.00%,0.00%,0.00%,0
25382,46145,HELMERICH-...,"Helmerich & Payne, Inc.",En,1,2,512,0.00%,0.00%,0.00%,0
25382,54617,MGHPCC-AS,"Massachusetts Green High Performance Computing Center, Inc",En,1,2,512,0.00%,0.00%,0.00%,0
25382,197364,ASN-RALEDA,"Privately Owned Enterprise Industrial Commerce Company ""Raleda""",En,1,2,512,0.00%,0.00%,0.00%,0
25382,60472,Apollon-AS2,Apollon LLC,En,1,2,512,0.00%,0.00%,0.00%,0
25382,22312,TECO-ENERGY,"TECO Energy, Inc.",En,1,2,512,0.00%,0.00%,0.00%,0
25382,23412,ABAATLASN2,"Abacus Solutions, LLC",En,1,2,512,0.00%,0.00%,0.00%,0
25382,16049,(no data),CPB-Software (Austria) GmbH,En,1,2,512,0.00%,0.00%,0.00%,0
25382,40817,BMC-AUS,"BMC Software, Inc.",En,1,2,512,0.00%,0.00%,0.00%,0
25382,32993,ASN-ITS,ITS COMMUNICATIONS,En,1,2,512,0.00%,0.00%,0.00%,0
25382,33415,PERKINSCOI...,"Perkins Coie, LLP",En,1,2,512,0.00%,0.00%,0.00%,0
25382,31440,DSK-AS,DSK Bank EAD,En,1,2,512,0.00%,0.00%,0.00%,0
25382,52044,SOFTWAREPA...,CONS MANAGEMENT PARC DE SOFT S.R.L.,En,1,2,512,0.00%,0.00%,0.00%,0
25382,23461,DCCA-PHOEN...,Dell Marketing L.P.,En,1,2,512,0.00%,0.00%,0.00%,2
25382,12982,Bulinfo-AS...,Bulinfo Ltd,Co,1,2,512,0.00%,0.00%,0.00%,0
25382,23234,MSUSA-FUTU...,MIZUHO SECURITIES USA INC,En,1,2,512,0.00%,0.00%,0.00%,0
25382,9516,SunflowerTel,Sunflower Telecom,En,1,2,512,0.00%,0.00%,0.00%,0
25382,25352,Guardian-N...,H B H Trade Center v/Henrik Bo Hansen,En,1,2,512,0.00%,0.00%,0.00%,0
25382,42243,Leadcom,Leadcom Integrated Solutions Ltd,En,1,2,512,0.00%,0.00%,0.00%,0
25382,17811,PEOPLESUPP...,Peoplesupport Inc.,En,1,2,512,0.00%,0.00%,0.00%,0
25382,132639,IDNIC-ILCS...,PT Integrasi Logistik Cipta Solusi,En,1,2,512,0.00%,0.00%,0.00%,0
25382,40747,FARECOMPAR...,"Farecompare, L.P.",En,1,2,512,0.00%,0.00%,0.00%,0
25382,36469,ATL-COLO,Noble Systems Corporation,En,1,2,512,0.00%,0.00%,0.00%,0
25382,132673,IDNIC-ARAN...,PT Arana Teknologi Indonesia,En,1,2,512,0.00%,0.00%,0.00%,0
25382,18598,CEQUINT-INC,"Cequint, Inc",En,1,2,512,0.00%,0.00%,0.00%,0
25382,25604,GULF-SOUTH...,GULF SOUTH PIPELINE CO LP,En,1,2,512,0.00%,0.00%,0.00%,0
25382,11056,BERGERMONT...,"Berger & Montague, P.C",En,1,2,512,0.00%,0.00%,0.00%,0
25382,18891,BERGERMONT...,"Berger & Montague, P.C",En,1,2,512,0.00%,0.00%,0.00%,0
25382,61116,ULINE-AS,PE Starukh Vadim Vladimirovich,En,1,2,512,0.00%,0.00%,0.00%,0
25382,51064,GITD-PL,Glowny Inspektorat Transportu Drogowego,En,1,2,512,0.00%,0.00%,0.00%,0
25382,36993,FCMB,"First City Monument Bank, PLC",En,1,2,512,0.00%,0.00%,0.00%,0
25382,29894,COMPASS-GL...,Compass Global INC,En,1,2,512,0.00%,0.00%,0.00%,0
25382,42909,COMMUNITYDNS,Internet Computer Bureau Ltd.,Tr/Ac,1,2,512,0.00%,0.00%,0.00%,0
25382,53249,LAWA-AS,Los Angeles World Airport,En,1,2,512,0.00%,0.00%,0.00%,0
25382,22048,WHOLE-FOODS,"Whole Foods Market, Inc.",En,1,2,512,0.00%,0.00%,0.00%,0
25382,199312,Megavista,Megavista Online S.L.,En,1,2,512,0.00%,0.00%,0.00%,0
25382,19525,3E-COMPANY,"3E COMPANY ENVIRONMENTAL, ECOLOGICAL AND ENGINEERING",En,1,2,512,0.00%,0.00%,0.00%,0
25382,55613,KAB-AS-KR,KOREA APPRAISAL BOARD,En,1,2,512,0.00%,0.00%,0.00%,0
25382,393248,NISD-1,Northside Independent School District,En,1,2,512,0.00%,0.00%,0.00%,0
25382,58735,DATACOM-SA...,Datacom Systems (SA),En,1,2,512,0.00%,0.00%,0.00%,0
25382,31473,BEARINGPOI...,Infonova GmbH,En,1,2,512,0.00%,0.00%,0.00%,0
25382,132041,O-ZONENETW...,C-2/6,En,1,2,512,0.00%,0.00%,0.00%,0
25382,35809,ASDivi,"SIA ""Datorikas instituts DIVI""",En,1,2,512,0.00%,0.00%,0.00%,0
25382,19961,STARGAS-NET-1,"Star Gas Partners, LP",En,1,2,512,0.00%,0.00%,0.00%,0
25382,10039,KHIDI-AS-KR,Korea Health Industry Development Institute,En,1,2,512,0.00%,0.00%,0.00%,0
25382,56644,SYNFS-AS,Synergy Financial Systems LTD,En,1,2,512,0.00%,0.00%,0.00%,0
25382,33534,OTICONUS-COM,"OTICON, INC.",En,1,2,512,0.00%,0.00%,0.00%,0
25382,21883,(no data),CHARTER COMMUNICATIONS INTERNATIONAL PANAMA,En,1,2,512,0.00%,0.00%,0.00%,0
25382,26768,ASN1,Israel A Englander & Co Inc.,En,1,2,512,0.00%,0.00%,0.00%,0
25382,197417,LV3SDATUCE...,SIA 101,Co,1,2,512,0.00%,0.00%,0.00%,0
25382,132393,MODULARIT-AU,8/5 Colin Street,En,1,2,512,0.00%,0.00%,0.00%,0
25382,132339,CELTELECOM...,CEL TELECOM LTD,En,1,2,512,0.00%,0.00%,0.00%,0
25382,21631,CHFA-COLORADO,Colorado Housing and Finance Authority,En,1,2,512,0.00%,0.00%,0.00%,0
25382,26497,QXSNET-AS,"Worldwide TechServices, LLC.",En,1,2,512,0.00%,0.00%,0.00%,0
25382,46336,GOODVILLE,Goodville Mutual Casualty Company,En,1,2,512,0.00%,0.00%,0.00%,0
