,Shannon Entropy,Entropy
0,0.355245321276,2.16992500144
3,0.257867709032,2.79919639867
262149,-0.0,-0.0
262150,0.0616450190829,5.46021208663
262154,-0.0,-0.0
32780,0.493451119637,20.3763712875
14,-0.0,-0.0
262159,-0.0,-0.0
17,0.381138270191,2.02974734339
131090,0.239609740763,2.94144781764
32787,0.577255040279,27.5108353876
196629,-0.0,-0.0
327702,-0.0,-0.0
25,-0.0,-0.0
327706,-0.0,-0.0
262171,-0.0,-0.0
196638,0.279279910129,2.64385618977
32800,-0.0,-0.0
196643,0.355245321276,2.16992500144
196645,0.482883616081,23.6248531474
38,0.386852807235,2.0
32808,-0.0,-0.0
262186,-0.0,-0.0
393259,0.228890275359,3.02974734339
196653,0.194686899572,3.33985000288
46,-0.0,-0.0
262191,0.25146299858,2.84799690655
262192,-0.0,-0.0
262194,-0.0,-0.0
262195,0.355245321276,2.16992500144
262197,-0.0,-0.0
262202,-0.0,-0.0
59,-0.0,-0.0
393277,0.386852807235,2.0
62,-0.0,-0.0
327744,-0.0,-0.0
196673,-0.0,-0.0
262210,-0.0,-0.0
262212,-0.0,-0.0
196678,0.110793466844,4.39592867633
262215,-0.0,-0.0
131144,-0.0,-0.0
73,0.355245321276,2.16992500144
196682,0.386701871338,2.00078046799
262220,-0.0,-0.0
131149,0.50699666992,5.59223716452
80,0.329755336262,2.31748218986
196689,0.157932076261,3.735987767
327763,-0.0,-0.0
262234,-0.0,-0.0
262237,0.385886660286,2.00500068106
393310,-0.0,-0.0
196705,-0.0,-0.0
32867,-0.0,-0.0
196708,-0.0,-0.0
32869,0.355245321276,2.16992500144
102,-0.0,-0.0
103,-0.0,-0.0
196713,0.581542843066,10.0248290054
131178,-0.0,-0.0
32875,0.416759324796,12.4453149109
109,-0.0,-0.0
262254,0.342070117913,15.6420904382
32879,-0.0,-0.0
262256,0.324886502201,7.42967001547
32881,-0.0,-0.0
131188,0.355245321276,2.16992500144
196727,-0.0,-0.0
32890,-0.0,-0.0
262268,-0.0,-0.0
196733,0.381138270191,2.02974734339
262271,-0.0,-0.0
262273,-0.0,-0.0
131,-0.0,-0.0
196740,-0.0,-0.0
327813,0.362595101924,13.8442411173
327814,0.219155792935,3.11334147308
196743,0.636498964543,11.1543448634
137,0.602807722553,16.1832410273
131210,-0.0,-0.0
262283,0.330442010247,2.3133706983
196749,-0.0,-0.0
196750,0.340929858358,2.251538767
131215,-0.0,-0.0
262288,-0.0,-0.0
196753,-0.0,-0.0
327826,-0.0,-0.0
32915,0.313845219895,2.41503749928
262293,-0.0,-0.0
262294,-0.0,-0.0
262296,-0.0,-0.0
262298,-0.0,-0.0
196763,0.552678741483,23.5903025132
156,-0.0,-0.0
262170,0.106846976531,4.46270675067
196767,-0.0,-0.0
196768,0.130481609123,4.09310940439
327842,-0.0,-0.0
32931,0.355245321276,2.16992500144
262309,-0.0,-0.0
32934,0.29770799675,8.1244347766
55653,0.386852807235,2.0
262312,-0.0,-0.0
196777,0.413231270148,12.4798307777
393386,-0.0,-0.0
32939,-0.0,-0.0
196781,-0.0,-0.0
196782,-0.0,-0.0
262323,-0.0,-0.0
262324,-0.0,-0.0
30,-0.0,-0.0
393398,0.453375898977,21.9624860252
262327,-0.0,-0.0
32952,-0.0,-0.0
131257,-0.0,-0.0
131259,0.514415789839,5.55849028936
196797,-0.0,-0.0
393406,0.437531879571,35.016907447
32959,0.375614963151,2.05889368905
131267,-0.0,-0.0
196,-0.0,-0.0
262341,-0.0,-0.0
196808,0.284154962107,7.83710226545
196810,0.348068398844,2.21045280802
196812,-0.0,-0.0
196814,0.399327037051,9.04404329858
393423,0.228890275359,3.02974734339
209,0.335617665561,35.1481227418
262354,-0.0,-0.0
196819,-0.0,-0.0
196821,-0.0,-0.0
262359,-0.0,-0.0
32987,-0.0,-0.0
131293,0.364082203403,7.20423305222
196831,-0.0,-0.0
224,0.355245321276,2.16992500144
225,-0.0,-0.0
262372,0.333900614932,2.29278174923
262375,-0.0,-0.0
262377,0.225542698036,3.05811364305
262378,-0.0,-0.0
33003,-0.0,-0.0
237,0.413008374416,6.48322302692
131310,0.239609740763,2.94144781764
239,-0.0,-0.0
262385,-0.0,-0.0
33011,0.28887715287,2.57779624284
131316,-0.0,-0.0
262391,-0.0,-0.0
33016,-0.0,-0.0
33017,-0.0,-0.0
250,0.56552475204,10.7251401588
251,0.386418196712,15.6436286396
131324,-0.0,-0.0
393470,-0.0,-0.0
43733,-0.0,-0.0
262401,-0.0,-0.0
262402,-0.0,-0.0
262403,-0.0,-0.0
33028,0.472748133845,17.3195919254
33029,-0.0,-0.0
262407,-0.0,-0.0
262409,-0.0,-0.0
10967,-0.0,-0.0
196878,0.533386265024,5.42206476617
271,-0.0,-0.0
327952,-0.0,-0.0
33042,0.535571213878,5.36257007938
196883,-0.0,-0.0
262420,-0.0,-0.0
278,-0.0,-0.0
33047,0.168990034909,10.244071261
262424,-0.0,-0.0
131353,0.370489225917,14.9390498634
262427,-0.0,-0.0
262429,-0.0,-0.0
286,0.480217695356,12.3413406862
33055,0.398475443268,20.6163218304
197495,0.50244246883,5.67807190511
290,-0.0,-0.0
196901,-0.0,-0.0
131366,-0.0,-0.0
131367,-0.0,-0.0
33064,-0.0,-0.0
33065,-0.0,-0.0
327979,0.257867709032,2.79919639867
33069,0.484196257021,5.75488750216
33070,0.719553984631,21.6842640376
262448,0.220192882325,3.10427238435
262450,-0.0,-0.0
262454,-0.0,-0.0
262456,-0.0,-0.0
262457,-0.0,-0.0
131386,0.504413186232,5.95411422948
33083,-0.0,-0.0
262460,-0.0,-0.0
262461,-0.0,-0.0
262462,-0.0,-0.0
131392,0.545055420671,5.42961718719
196929,0.676009583748,9.05636676102
131394,-0.0,-0.0
33091,-0.0,-0.0
262468,-0.0,-0.0
33093,-0.0,-0.0
262470,-0.0,-0.0
196938,-0.0,-0.0
131404,-0.0,-0.0
33101,-0.0,-0.0
262478,-0.0,-0.0
38285,0.57784573123,5.04766925139
262481,-0.0,-0.0
262482,-0.0,-0.0
328020,-0.0,-0.0
5518,0.749475028192,8.27634073562
131414,0.356104486046,2.16512423107
