,Exploits,Fraudlent Services,Malware,Phishing,Spammers,Unwanted Programs
10835,0.0,0.0,3386.0,1.0,2.0,0.0
40965,0.0,167.0,39.0,7.0,1.0,0.0
19237,5.0,17.0,284.0,53.0,2.0,1.0
44387,4.0,216.0,1484.0,5.0,2.0,1.0
17506,104.0,156.0,532.0,162.0,16.0,27.0
31400,50.0,96.0,379.0,63.0,4.0,3.0
21793,158.0,256.0,303.0,0.0,10.0,0.0
49130,0.0,0.0,12.0,0.0,1.0,0.0
26658,3.0,13.0,114.0,93.0,2.0,0.0
61969,602.0,4209.0,10087.0,1912.0,35.0,444.0
21098,46.0,13.0,51.0,0.0,2.0,0.0
2122,22.0,0.0,11.0,0.0,2.0,0.0
42267,20.0,12.0,16.0,0.0,1.0,0.0
23028,2.0,0.0,9.0,0.0,14.0,0.0
32613,192.0,735.0,2459.0,665.0,3.0,94.0
29106,231.0,0.0,454.0,0.0,5.0,0.0
8426,48.0,162.0,2593.0,2548.0,4.0,101.0
27956,6.0,0.0,22.0,2.0,1.0,0.0
35804,7.0,0.0,138.0,3.0,2.0,4.0
47328,18.0,17.0,30.0,3.0,1.0,160.0
9123,64.0,749.0,1673.0,420.0,3.0,7.0
137,9.0,2.0,42.0,12.0,2.0,0.0
48815,5.0,0.0,43.0,37.0,1.0,4.0
38331,0.0,0.0,0.0,0.0,2.0,0.0
49637,1.0,6.0,57.0,0.0,6.0,0.0
20773,138.0,869.0,1265.0,960.0,1.0,193.0
56897,1.0,0.0,320.0,0.0,1.0,0.0
35818,4.0,22.0,218.0,63.0,1.0,0.0
5588,55.0,232.0,2798.0,680.0,3.0,28.0
13489,0.0,9.0,843.0,12.0,1.0,10.0
9562,0.0,0.0,0.0,35.0,2.0,0.0
50793,64.0,10.0,366.0,0.0,3.0,0.0
50826,2.0,0.0,7.0,0.0,1.0,0.0
35017,765.0,920.0,12751.0,267.0,1.0,6.0
45538,15.0,43.0,914.0,286.0,1.0,0.0
49588,3.0,0.0,62.0,127.0,2.0,0.0
38356,28.0,9.0,85.0,0.0,11.0,0.0
20454,109.0,2511.0,4692.0,884.0,3.0,64.0
22576,95.0,207.0,487.0,75.0,13.0,30.0
48691,7.0,14.0,4.0,0.0,1.0,0.0
45839,21.0,601.0,1457.0,156.0,2.0,6.0
43260,26.0,751.0,896.0,218.0,2.0,19.0
13727,148.0,68.0,466.0,4.0,5.0,17.0
49981,1096.0,1455.0,2832.0,296.0,6.0,54.0
23650,45.0,15.0,817.0,36159.0,1.0,158.0
6712,1.0,0.0,123.0,12.0,1.0,0.0
48515,0.0,0.0,0.0,0.0,1.0,0.0
14061,284.0,4671.0,6045.0,1844.0,16.0,593.0
14992,14.0,169.0,328.0,99.0,1.0,9.0
8870,8.0,1.0,20.0,0.0,1.0,0.0
3561,208.0,421.0,1266.0,131.0,4.0,520.0
50673,78.0,1432.0,6054.0,423.0,5.0,35.0
4134,1338.0,2426.0,25705.0,137967.0,31.0,488.0
57390,0.0,0.0,3.0,0.0,1.0,0.0
51468,145.0,1240.0,2562.0,404.0,1.0,4.0
3842,39.0,543.0,989.0,152.0,2.0,21.0
48212,0.0,0.0,18.0,0.0,1.0,0.0
8972,239.0,1132.0,3011.0,772.0,21.0,142.0
44575,1.0,14.0,23.0,0.0,1.0,0.0
6851,764.0,509.0,430.0,0.0,27.0,0.0
48772,0.0,0.0,13.0,0.0,1.0,0.0
15626,353.0,140.0,7742.0,7258.0,1.0,0.0
32097,104.0,1667.0,1529.0,560.0,1.0,27.0
14618,30114.0,18985.0,250703.0,65102.0,107.0,100078.0
12714,12.0,1.0,166.0,95.0,1.0,1.0
48172,34.0,9.0,58.0,0.0,1.0,0.0
14207,0.0,0.0,0.0,0.0,2.0,0.0
16097,9.0,32.0,32.0,42.0,1.0,8.0
30689,0.0,0.0,38.0,0.0,1.0,0.0
198968,1.0,12.0,104.0,26.0,1.0,0.0
48588,2.0,7.0,3.0,0.0,1.0,0.0
9381,1.0,6.0,200.0,21.0,1.0,4.0
11288,0.0,32.0,25.0,2.0,1.0,0.0
44050,184.0,254.0,1240.0,70.0,6.0,4.0
15826,0.0,2.0,46.0,11.0,4.0,0.0
26496,7626.0,106243.0,183838.0,37186.0,71.0,1123.0
25535,59.0,1006.0,1599.0,236.0,1.0,21.0
3215,10.0,101.0,633.0,28.0,1.0,21.0
8206,82.0,8.0,139.0,0.0,3.0,0.0
30848,3.0,0.0,8.0,0.0,1.0,0.0
31240,11.0,159.0,225.0,98.0,2.0,3.0
24306,0.0,0.0,3.0,0.0,1.0,0.0
15954,1.0,8.0,23.0,4.0,2.0,0.0
25129,46.0,71.0,126.0,0.0,4.0,0.0
19969,378.0,349.0,1226.0,224.0,7.0,8.0
4538,15.0,9.0,148.0,404.0,1.0,5.0
43997,3.0,0.0,73.0,0.0,8.0,0.0
51852,32.0,534.0,915.0,73.0,1.0,22.0
46015,17.0,55.0,814.0,396.0,4.0,4.0
17971,42.0,71.0,751.0,142.0,16.0,0.0
62054,7.0,2.0,82.0,27.0,2.0,0.0
34233,14.0,4.0,311.0,116.0,7.0,0.0
42861,0.0,4.0,3.0,0.0,1.0,0.0
43513,10.0,10.0,55.0,6.0,1.0,12.0
12876,116.0,4725.0,6554.0,2159.0,3.0,272.0
34513,4.0,0.0,2.0,0.0,1.0,0.0
39857,0.0,0.0,0.0,0.0,1.0,0.0
3595,298.0,467.0,2561.0,733.0,2.0,63.0
49770,30.0,393.0,223.0,3.0,1.0,0.0
20738,375.0,1244.0,1636.0,325.0,5.0,32.0
39858,16.0,0.0,32.0,0.0,1.0,0.0
3598,1189.0,391.0,2172.0,17.0,20.0,7.0
10653,0.0,0.0,0.0,3.0,1.0,0.0
9530,0.0,0.0,1.0,0.0,11.0,0.0
27645,18.0,34.0,45.0,1.0,3.0,0.0
25229,46.0,221.0,4884.0,208.0,9.0,13.0
