,--,AR,AT,AU,BA,BG,BR,BS,BZ,CA,CL,CN,CO,CZ,DE,DJ,DK,DO,EE,EG,ES,EU,FI,FR,GB,HK,HU,ID,IE,IL,IN,IR,IT,JP,KR,LT,LU,LV,MD,MY,NA,NL,NZ,PA,PE,PH,PL,PT,RO,RU,SE,SG,SK,TH,TR,TW,UA,US,VG,VN,ZZ
Life,1.5675675675675675,1.0,1.4444444444444444,1.3333333333333333,1.0,1.3333333333333333,1.1666666666666667,1.0,1.0,1.411764705882353,1.0,1.6388888888888888,1.0,1.5416666666666667,2.0,1.0,1.0,1.0,1.0,1.0,1.1111111111111112,1.25,1.0,1.3333333333333333,1.3333333333333333,1.5625,2.0,1.0,1.0,1.0,1.0,1.0,1.1,1.0,1.1176470588235294,1.0,1.0,1.608695652173913,1.1428571428571428,1.0,1.0,2.0697674418604652,2.0,1.0,1.0,1.0,1.1111111111111112,1.0,1.1875,1.9814814814814814,1.0,1.4545454545454546,1.0,1.125,1.1428571428571428,1.0,2.1296296296296298,6.441860465116279,2.731707317073171,1.0,1.2
Death,8.891891891891891,193.0,37.4,41.666666666666664,63.666666666666664,95.75,31.083333333333332,76.6,193.0,20.166666666666668,128.33333333333334,8.864864864864865,193.0,14.583333333333334,3.4507042253521125,193.0,192.5,193.0,128.33333333333334,193.0,41.888888888888886,21.58823529411765,193.0,13.0,11.193548387096774,21.294117647058822,127.66666666666667,128.33333333333334,193.0,63.666666666666664,47.375,193.0,37.6,63.666666666666664,20.444444444444443,37.8,37.8,14.583333333333334,24.733333333333334,26.714285714285715,193.0,6.930232558139535,192.5,47.5,128.33333333333334,386.0,41.888888888888886,128.33333333333334,23.0,5.090909090909091,96.0,33.72727272727273,192.5,47.25,24.733333333333334,128.33333333333334,5.037037037037037,2.558139534883721,6.7073170731707314,96.0,34.09090909090909
Life_S,5.054054054054054,1.0,3.7777777777777777,1.7777777777777777,3.2,1.6666666666666667,2.5,1.5,1.0,2.1176470588235294,1.0,6.916666666666667,1.0,4.125,5.126760563380282,1.0,1.5,2.0,1.5,2.0,1.5555555555555556,1.75,1.0,4.481481481481482,6.0,10.8125,2.5,2.0,1.0,1.2,1.625,1.0,4.0,1.4,3.4705882352941178,1.5555555555555556,1.2222222222222223,2.8260869565217392,1.6428571428571428,2.1538461538461537,1.0,6.3023255813953485,2.0,1.2857142857142858,1.0,1.0,1.2222222222222223,1.5,2.1875,30.666666666666668,1.0,2.5454545454545454,1.0,1.125,1.7142857142857142,1.0,7.12962962962963,61.13953488372093,15.658536585365853,1.6666666666666667,3.2
Death_S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Severity,3.6882882882882884,1.0,2.3703703703703707,1.259259259259259,3.2,1.1666666666666667,2.25,1.5,1.0,1.6666666666666665,1.0,4.494444444444444,1.0,2.2881944444444446,2.5260563380281695,1.0,1.5,2.0,1.5,2.0,1.3888888888888888,1.2395833333333335,1.0,2.932098765432099,2.819444444444444,6.536458333333333,1.1666666666666665,2.0,1.0,1.2,1.625,1.0,3.2,1.4,3.313725490196078,1.5555555555555556,1.2222222222222223,1.6521739130434783,1.4642857142857142,2.1538461538461537,1.0,2.297400477939034,1.0,1.2857142857142858,1.0,1.0,1.0555555555555556,1.5,1.65625,5.314594356261022,1.0,1.8636363636363635,1.0,1.0,1.4285714285714286,1.0,2.3446456835345724,5.114506807206652,3.632154735508394,1.6666666666666667,2.85
Number of Lives,37.0,1.0,9.0,9.0,5.0,3.0,12.0,4.0,1.0,17.0,2.0,36.0,1.0,24.0,71.0,1.0,2.0,1.0,2.0,1.0,9.0,16.0,1.0,27.0,30.0,16.0,2.0,2.0,1.0,5.0,8.0,1.0,10.0,5.0,17.0,9.0,9.0,23.0,14.0,13.0,1.0,43.0,1.0,7.0,2.0,1.0,9.0,2.0,16.0,54.0,3.0,11.0,2.0,8.0,14.0,2.0,54.0,43.0,41.0,3.0,10.0
Number of Deaths,37.0,2.0,10.0,9.0,6.0,4.0,12.0,5.0,2.0,18.0,3.0,37.0,2.0,24.0,71.0,2.0,2.0,2.0,3.0,2.0,9.0,17.0,2.0,27.0,31.0,17.0,3.0,3.0,2.0,6.0,8.0,2.0,10.0,6.0,18.0,10.0,10.0,24.0,15.0,14.0,2.0,43.0,2.0,8.0,3.0,1.0,9.0,3.0,16.0,55.0,4.0,11.0,2.0,8.0,15.0,3.0,54.0,43.0,41.0,4.0,11.0
Reciprocal Mean Duration,0.09560723514211886,0.005154639175257732,0.02574370709382151,0.023255813953488372,0.015463917525773198,0.010300429184549357,0.031007751937984496,0.012886597938144331,0.005154639175257732,0.046342571558382555,0.007731958762886597,0.09520405975269816,0.005154639175257732,0.06201550387596899,0.18346253229974163,0.005154639175257732,0.00516795865633075,0.005154639175257732,0.007731958762886597,0.005154639175257732,0.023255813953488372,0.043786220218931096,0.005154639175257732,0.06976744186046512,0.07982832618025751,0.043751005308026385,0.007712082262210796,0.007731958762886597,0.005154639175257732,0.015463917525773198,0.020671834625323,0.005154639175257732,0.025839793281653745,0.015463917525773198,0.04637769020915429,0.025773195876288662,0.025773195876288662,0.061758782725441934,0.038645564961354434,0.03608247422680412,0.005154639175257732,0.1111111111111111,0.005141388174807198,0.020618556701030927,0.007731958762886597,0.002583979328165375,0.023255813953488372,0.007731958762886597,0.041343669250646,0.14139490597476792,0.010309278350515464,0.028423772609819122,0.00516795865633075,0.020671834625323,0.038645564961354434,0.007731958762886597,0.13953488372093023,0.1111111111111111,0.10594315245478035,0.010309278350515464,0.028335909325090156
