,--,A1,AD,AE,AF,AG,AI,AL,AM,AN,AO,AR,AS,AT,AU,AW,AZ,BA,BB,BD,BE,BF,BG,BH,BI,BJ,BM,BN,BO,BR,BS,BT,BW,BY,BZ,CA,CD,CG,CH,CI,CL,CM,CN,CO,CR,CS,CU,CV,CW,CY,CZ,DE,DJ,DK,DM,DO,DZ,EC,EE,EG,ES,ET,EU,FI,FJ,FR,GA,GB,GD,GE,GH,GI,GM,GR,GT,GU,GY,HK,HN,HR,HT,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JM,JO,JP,KE,KG,KH,KM,KR,KW,KY,KZ,LA,LB,LI,LK,LR,LS,LT,LU,LV,LY,MA,MD,ME,MF,MG,MH,MK,ML,MM,MN,MO,MP,MR,MT,MU,MV,MW,MX,MY,MZ,NA,NC,NE,NG,NI,NL,NO,NP,NZ,OM,PA,PE,PF,PG,PH,PK,PL,PR,PS,PT,PY,QA,RE,RO,RS,RU,RW,SA,SC,SD,SE,SG,SI,SK,SM,SN,SO,SR,SV,SX,SY,SZ,TC,TD,TH,TJ,TM,TN,TR,TT,TW,TZ,UA,UG,UK,US,UY,UZ,VC,VE,VG,VN,VU,XK,YE,ZA,ZM,ZW,ZZ,xx
Life,7.803921568627451,1.0,2.090909090909091,4.411764705882353,1.2,1.0,1.7837837837837838,1.8,1.6304347826086956,1.0,1.0,11.235294117647058,1.5,8.923076923076923,13.625,1.0,2.268292682926829,2.95,1.5,2.018181818181818,5.298245614035087,1.0,7.673913043478261,1.3333333333333333,1.5,1.0,1.3333333333333333,1.5,1.5,54.75,2.111111111111111,1.0,1.0,4.647058823529412,3.3095238095238093,37.833333333333336,1.0,2.0,8.0,1.5,8.341463414634147,1.3636363636363635,55.75,2.7088607594936707,1.6382978723404256,1.0,1.0,1.0,1.1923076923076923,2.488888888888889,26.058823529411764,30.4375,1.0,9.41025641025641,1.5,1.1363636363636365,4.25,1.7555555555555555,6.636363636363637,2.8181818181818183,23.333333333333332,1.0,11.176470588235293,3.8392857142857144,1.8,23.75,1.0,37.666666666666664,1.0,3.0869565217391304,1.1111111111111112,1.0,1.2857142857142858,3.8771929824561404,2.230769230769231,1.1428571428571428,2.0,11.628571428571428,1.2777777777777777,1.7627118644067796,1.0,9.789473684210526,4.734375,7.2272727272727275,7.913043478260869,10.162162162162161,2.6666666666666665,5.333333333333333,2.792452830188679,26.8125,1.2,1.7619047619047619,11.151515151515152,1.7073170731707317,1.891304347826087,1.7307692307692308,1.0,23.22222222222222,1.1428571428571428,1.1428571428571428,4.5,1.2,1.6842105263157894,1.1666666666666667,1.3103448275862069,2.25,1.25,10.969696969696969,13.233333333333333,13.366666666666667,1.5333333333333334,2.3636363636363638,6.448979591836735,1.1428571428571428,1.0,1.5,2.0,1.5227272727272727,1.4,1.0,1.4318181818181819,1.2,1.0,1.0,1.8611111111111112,1.4782608695652173,1.25,1.5,3.6857142857142855,11.470588235294118,1.2857142857142858,9.333333333333334,1.6,1.0,2.210526315789474,1.1666666666666667,27.235294117647058,3.5285714285714285,1.631578947368421,2.546875,1.2857142857142858,3.3733333333333335,1.4666666666666666,1.3333333333333333,1.1428571428571428,1.7058823529411764,2.1555555555555554,22.57894736842105,1.5714285714285714,1.9230769230769231,5.636363636363637,1.4074074074074074,1.5,1.0,14.310344827586206,4.372549019607843,33.142857142857146,1.0,4.0476190476190474,1.1851851851851851,1.0714285714285714,13.833333333333334,7.09433962264151,3.037037037037037,5.769230769230769,1.0,1.1111111111111112,1.0,1.0,1.0769230769230769,2.0,1.12,1.5,1.5,1.5,10.527777777777779,1.0,1.0,2.3947368421052633,30.214285714285715,1.25,11.382352941176471,1.4615384615384615,32.142857142857146,1.0,2.0,511.0,1.2608695652173914,1.5555555555555556,1.0,1.5714285714285714,9.041666666666666,8.894736842105264,1.0,4.0,1.25,6.511111111111111,1.6,1.1111111111111112,6.395348837209302,1.3333333333333333
Death,2.215686274509804,255.0,40.666666666666664,10.314285714285715,84.16666666666667,84.33333333333333,11.710526315789474,22.61904761904762,9.27659574468085,255.0,127.0,3.6857142857142855,169.33333333333334,4.075,2.34375,169.66666666666666,9.952380952380953,9.585365853658537,169.33333333333334,7.142857142857143,3.603448275862069,255.0,3.3617021276595747,49.9,169.33333333333334,255.0,126.75,169.33333333333334,14.030303030303031,9.125,4.917808219178082,101.4,101.4,5.269230769230769,8.651162790697674,4.384615384615385,169.66666666666666,254.5,3.533333333333333,17.48148148148148,4.121951219512195,41.333333333333336,8.125,3.7125,9.041666666666666,255.0,255.0,169.66666666666666,17.77777777777778,8.673913043478262,4.0,1.5,127.0,3.6,169.33333333333334,21.130434782608695,11.363636363636363,9.391304347826088,4.9772727272727275,6.357142857142857,5.055555555555555,101.4,3.742857142857143,5.192982456140351,83.66666666666667,1.8,255.0,4.538461538461538,169.66666666666666,4.257142857142857,25.842105263157894,84.33333333333333,32.86666666666667,5.0,16.77777777777778,62.875,254.5,2.888888888888889,25.68421052631579,6.783333333333333,127.0,3.5641025641025643,3.2,4.288888888888889,3.127659574468085,3.5526315789473686,9.279069767441861,4.054545454545455,6.722222222222222,5.125,84.16666666666667,10.162790697674419,4.205882352941177,10.5,9.02127659574468,17.25925925925926,255.0,4.894736842105263,22.136363636363637,62.875,3.9508196721311477,45.36363636363637,23.95,72.0,15.766666666666667,22.19047619047619,101.2,4.515151515151516,3.6774193548387095,3.5483870967741935,30.5,6.803571428571429,3.9,33.0,255.0,101.0,254.5,9.866666666666667,84.0,72.14285714285714,9.955555555555556,23.19047619047619,255.0,169.66666666666666,12.0,19.875,101.2,169.33333333333334,3.563380281690141,3.4571428571428573,62.75,1.9782608695652173,83.83333333333333,255.0,10.948717948717949,72.0,2.823529411764706,3.7183098591549295,24.0,5.3538461538461535,62.75,3.3947368421052633,9.673913043478262,126.75,62.875,5.72463768115942,9.0,4.315789473684211,21.727272727272727,10.9,3.5892857142857144,16.892857142857142,37.92307692307692,255.0,3.2,5.538461538461538,3.357142857142857,84.33333333333333,7.930232558139535,17.107142857142858,33.06666666666667,3.2,2.547169811320755,6.3090909090909095,3.981132075471698,55.888888888888886,50.1,127.0,101.4,35.5,254.5,18.576923076923077,169.33333333333334,169.33333333333334,169.33333333333334,3.5675675675675675,84.33333333333333,255.0,10.76923076923077,5.866666666666666,38.15384615384615,3.5428571428571427,35.142857142857146,4.357142857142857,63.0,169.0,0.0,20.083333333333332,12.297297297297296,255.0,7.421052631578948,1.6041666666666667,4.435897435897436,255.0,167.66666666666666,55.666666666666664,4.739130434782608,83.83333333333333,50.1,5.363636363636363,71.85714285714286
Life_S,46276.294117647056,1.0,102.0,74.41176470588235,7.0,2.2,6.0,12.15,20.695652173913043,1.0,2.6666666666666665,313.20588235294116,16.5,256.15384615384613,1903.53125,1.0,122.95121951219512,126.4,3.5,13.127272727272727,86.75438596491227,1.0,256.1521739130435,7.222222222222222,54.0,1.0,6.333333333333333,2.0,84.3125,7062.375,121.23611111111111,1.0,1.5,76.50980392156863,45.11904761904762,4288.5,2.5,15.0,302.77272727272725,2.8076923076923075,208.0,9.363636363636363,164616.75,46.36708860759494,10.553191489361701,2.0,6.0,1.0,8.153846153846153,23.711111111111112,4749.058823529412,92083.4375,17.666666666666668,249.87179487179486,9.5,5.818181818181818,18.09375,27.08888888888889,198.0909090909091,27.545454545454547,4196.666666666667,4.75,806.8235294117648,33.19642857142857,41.0,63716.4,5.0,10865.833333333334,1.5,55.11594202898551,5.333333333333333,1.2,4.5,52.07017543859649,72.57692307692308,4.0,6.0,1287.2857142857142,4.166666666666667,9.76271186440678,1.0,475.39473684210526,140.65625,166.25,225.80434782608697,592.8108108108108,13.047619047619047,130.11111111111111,40.9811320754717,10298.4375,13.6,9.428571428571429,266.6363636363636,5.780487804878049,42.30434782608695,12.153846153846153,1.0,3150.9444444444443,9.761904761904763,2.142857142857143,85.15,3.8,12.578947368421053,2.3333333333333335,6.793103448275862,7.95,2.75,1115.2121212121212,875.7666666666667,565.0333333333333,11.4,14.036363636363637,293.1020408163265,3.7857142857142856,1.0,34.75,14.0,9.590909090909092,2.8,2.3333333333333335,4.931818181818182,16.4,1.0,1.0,14.083333333333334,12.347826086956522,7.5,4.0,85.55714285714286,392.52941176470586,3.857142857142857,1401.111111111111,6.6,1.0,22.86842105263158,1.8333333333333333,23842.235294117647,48.92857142857143,5.631578947368421,19.796875,7.714285714285714,62.64,4.466666666666667,4.333333333333333,3.2857142857142856,9.205882352941176,29.31111111111111,3564.842105263158,16.714285714285715,7.076923076923077,96.41818181818182,9.74074074074074,8.5,4.0,1036.103448275862,628.8627450980392,23837.571428571428,2.0,30.666666666666668,3.3333333333333335,6.0,5243.9,630.7358490566038,22.87037037037037,510.4807692307692,2.125,4.777777777777778,8.666666666666666,1.25,5.0,2.0,3.92,3.0,1.5,1.5,335.6111111111111,1.6,1.0,11.236842105263158,3338.5,16.333333333333332,550.7352941176471,3.4615384615384617,17324.214285714286,1.7142857142857142,14.5,42187267.0,10.91304347826087,18.666666666666668,1.0,17.089285714285715,4315.104166666667,598.3684210526316,1.0,281.0,3.25,169.95555555555555,4.6,3.4444444444444446,229.02325581395348,62.833333333333336
Death_S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Severity,216.88790201562443,1.0,14.075757575757574,12.629686806849437,3.9,2.2,2.826167076167076,4.1625,6.973188405797101,1.0,2.6666666666666665,8.33652321822737,9.5,8.257290857290858,12.819945815521809,1.0,16.249419279907084,12.607386363636364,2.0,5.289898989898991,7.354469119197472,1.0,7.934419892650416,4.0,27.25,1.0,4.166666666666667,1.25,55.880208333333336,19.637648104265402,19.56188973063973,1.0,1.5,6.386533194474371,6.407374338624338,21.789257889319888,2.5,7.5,9.037115474111554,1.744871794871795,8.838191578928598,5.363636363636363,377.6002277904328,7.9235637779941595,6.328014184397164,2.0,6.0,1.0,5.570512820512821,7.133251933251933,24.715266680190894,212.42046734234236,17.666666666666668,9.206147409714522,5.0,3.272727272727273,4.825896773182958,6.22673721340388,8.978661243626771,15.850735930735931,21.925148473280657,4.75,73.23906712301289,5.5083088329798855,24.5,148.5438926940639,5.0,26.538812785388128,1.5,6.935507246376811,3.9166666666666665,1.2,3.2857142857142856,6.536889572415888,9.08397435897436,3.5714285714285716,3.0,10.608218017836839,2.2175925925925926,4.473446327683616,1.0,14.311524060776497,10.632658617424243,8.048126152861023,16.327996397992088,7.086008132025831,3.769150993730826,11.173723859563234,6.471402999516206,36.871384627642776,8.1,3.890873015873016,5.695693512610627,2.7831010452961675,16.868659420289855,6.254578754578755,1.0,25.20745928908896,6.0476190476190474,1.9285714285714286,7.347384771026075,2.533333333333333,3.8508771929824563,1.5833333333333333,5.068965517241379,2.8866666666666667,2.0,8.678988603988604,8.443026103526103,17.24790646949739,6.0,3.0967828662565506,15.405899785972201,2.8214285714285716,1.0,17.625,7.0,4.693181818181819,2.1,2.3333333333333335,3.179924242424242,14.2,1.0,1.0,5.128240740740741,7.192028985507247,4.25,3.25,11.777853114930183,7.035218066227703,3.0,27.087830011698163,3.7666666666666666,1.0,4.423976608187135,1.5833333333333333,57.9421768707483,6.759195483749054,3.9824561403508776,6.453949652777777,4.214285714285714,10.880900315370903,2.9833333333333334,3.8333333333333335,2.7857142857142856,3.6176470588235294,8.862618862618863,16.8025619604567,6.884920634920635,3.23931623931624,6.122918497258766,4.024691358024691,4.638888888888888,4.0,9.053473310025772,24.492576704341413,57.47118847539015,2.0,4.599183092040235,2.5,5.821428571428571,27.196743111960505,6.385916757658682,4.384876543209877,21.0365273847442,2.125,3.111111111111111,8.666666666666666,1.25,4.8076923076923075,1.0,3.22,2.0,1.0,1.0,6.418967231704359,1.6,1.0,3.8915204678362576,22.135214902675223,9.833333333333334,17.37717319487375,2.333333333333333,79.85099268561558,1.7142857142857142,6.166666666666667,82558.25244618395,6.4855072463768115,9.776851851851852,1.0,7.297874149659863,22.614988575483665,10.527331657965641,1.0,40.57142857142857,2.625,6.9837014627580665,2.3,3.2777777777777777,5.136366630332255,54.75
Number of Lives,51.0,1.0,11.0,34.0,5.0,5.0,37.0,20.0,46.0,1.0,3.0,34.0,2.0,39.0,32.0,2.0,41.0,40.0,2.0,55.0,57.0,1.0,46.0,9.0,2.0,1.0,3.0,2.0,32.0,8.0,72.0,4.0,4.0,51.0,42.0,12.0,2.0,1.0,44.0,26.0,41.0,11.0,8.0,79.0,47.0,1.0,1.0,2.0,26.0,45.0,17.0,16.0,3.0,39.0,2.0,22.0,32.0,45.0,44.0,55.0,18.0,4.0,34.0,56.0,5.0,20.0,1.0,12.0,2.0,69.0,18.0,5.0,14.0,57.0,26.0,7.0,1.0,35.0,18.0,59.0,3.0,38.0,64.0,44.0,46.0,37.0,42.0,54.0,53.0,16.0,5.0,42.0,33.0,41.0,46.0,26.0,1.0,18.0,21.0,7.0,60.0,10.0,19.0,6.0,29.0,20.0,4.0,33.0,30.0,30.0,15.0,55.0,49.0,14.0,1.0,4.0,1.0,44.0,5.0,6.0,44.0,20.0,1.0,2.0,36.0,23.0,4.0,2.0,70.0,34.0,7.0,45.0,5.0,1.0,38.0,6.0,17.0,70.0,19.0,64.0,7.0,75.0,45.0,3.0,7.0,68.0,45.0,19.0,21.0,39.0,55.0,27.0,12.0,1.0,29.0,51.0,14.0,5.0,42.0,27.0,14.0,30.0,53.0,54.0,52.0,8.0,9.0,3.0,4.0,13.0,1.0,25.0,2.0,2.0,2.0,36.0,5.0,1.0,38.0,14.0,12.0,34.0,13.0,14.0,7.0,2.0,1.0,23.0,36.0,1.0,56.0,48.0,38.0,1.0,2.0,8.0,45.0,5.0,9.0,43.0,6.0
Number of Deaths,51.0,2.0,12.0,35.0,6.0,6.0,38.0,21.0,47.0,2.0,4.0,35.0,3.0,40.0,32.0,3.0,42.0,41.0,3.0,56.0,58.0,2.0,47.0,10.0,3.0,2.0,4.0,3.0,33.0,8.0,73.0,5.0,5.0,52.0,43.0,13.0,3.0,2.0,45.0,27.0,41.0,12.0,8.0,80.0,48.0,2.0,2.0,3.0,27.0,46.0,17.0,16.0,4.0,40.0,3.0,23.0,33.0,46.0,44.0,56.0,18.0,5.0,35.0,57.0,6.0,20.0,2.0,13.0,3.0,70.0,19.0,6.0,15.0,58.0,27.0,8.0,2.0,36.0,19.0,60.0,4.0,39.0,65.0,45.0,47.0,38.0,43.0,55.0,54.0,16.0,6.0,43.0,34.0,42.0,47.0,27.0,2.0,19.0,22.0,8.0,61.0,11.0,20.0,7.0,30.0,21.0,5.0,33.0,31.0,31.0,16.0,56.0,50.0,15.0,2.0,5.0,2.0,45.0,6.0,7.0,45.0,21.0,2.0,3.0,37.0,24.0,5.0,3.0,71.0,35.0,8.0,46.0,6.0,2.0,39.0,7.0,17.0,71.0,20.0,65.0,8.0,76.0,46.0,4.0,8.0,69.0,46.0,19.0,22.0,40.0,56.0,28.0,13.0,2.0,30.0,52.0,14.0,6.0,43.0,28.0,15.0,30.0,53.0,55.0,53.0,9.0,10.0,4.0,5.0,14.0,2.0,26.0,3.0,3.0,3.0,37.0,6.0,2.0,39.0,15.0,13.0,35.0,14.0,14.0,8.0,3.0,1.0,24.0,37.0,2.0,57.0,48.0,39.0,2.0,3.0,9.0,46.0,6.0,10.0,44.0,7.0
Reciprocal Mean Duration,0.09980430528375733,0.00390625,0.023387668320340185,0.06790687057749371,0.011714174150722373,0.01171875,0.07410530754229694,0.04095163806552262,0.09168398286756288,0.00390625,0.0078125,0.06701959900878576,0.005853658536585366,0.07693445776002368,0.06262230919765166,0.005859375,0.08182854970537921,0.07977429711061387,0.005853658536585366,0.10915792458179756,0.11233816983247817,0.00390625,0.0906157005742068,0.01951854261548471,0.005853658536585366,0.00390625,0.0078074170461938834,0.005853658536585366,0.06439024390243903,0.015655577299412915,0.1422693806842789,0.009765625,0.009765625,0.10084417065936573,0.0836072404055368,0.023686607956270873,0.005859375,0.003898635477582846,0.08670520231213873,0.05268292682926829,0.08023483365949119,0.023420865862313695,0.015655577299412915,0.15573023187048765,0.09363326969369969,0.00390625,0.00390625,0.005859375,0.05271457535480964,0.08958324317306443,0.033268101761252444,0.03131115459882583,0.0078125,0.07686243594797004,0.005853658536585366,0.04490991390787255,0.06404657933042213,0.08971136343936899,0.08610567514677105,0.10898796886058033,0.035225048923679066,0.009765625,0.06702714881153543,0.11071416183968645,0.01170046801872075,0.03913894324853229,0.00390625,0.023693803159173753,0.005859375,0.1361637347767253,0.03710132349750488,0.01171875,0.02928053541550474,0.11264822134387352,0.05260791366906475,0.015620641562064157,0.003898635477582846,0.068882571616007,0.03708925279253877,0.11701318877466697,0.0078125,0.07488630621526024,0.1260338716029933,0.08683448820278923,0.09057394218684542,0.07291396566924234,0.0837118754055808,0.10652033570045191,0.10510080423047263,0.03131115459882583,0.011714174150722373,0.08385958395245172,0.0651151993500087,0.08191808191808192,0.09163735006145891,0.05265921536268847,0.00390625,0.03556572379367721,0.04295676429567643,0.015620641562064157,0.1183317167798254,0.021475985942991015,0.03901036854532389,0.013667425968109338,0.05855825536784007,0.040915733073550904,0.009760858955588092,0.06457925636007827,0.05913397342150442,0.059118937130506644,0.03121748178980229,0.10908446962989198,0.09662788404653914,0.02928870292887029,0.00390625,0.00975609756097561,0.003898635477582846,0.08780098443528002,0.011709601873536299,0.013671875,0.087816560961547,0.04099960952752831,0.00390625,0.005859375,0.07214428857715431,0.04683125477220666,0.009760858955588092,0.005853658536585366,0.13794826246252914,0.06698941679801847,0.01561628555493586,0.08840486867392697,0.011705033164260633,0.00390625,0.07599220592759716,0.013667425968109338,0.033268101761252444,0.13799039342532693,0.039014373716632446,0.12657072443484346,0.01561628555493586,0.1477526051117217,0.08976193573565759,0.0078074170461938834,0.015620641562064157,0.13458008260670032,0.08964143426294821,0.03718199608610568,0.04292084726867335,0.07798440311937613,0.10839345416153438,0.05464401879291651,0.025365853658536587,0.00390625,0.05710909807010635,0.10089788464465073,0.0273972602739726,0.01171875,0.08348742603550297,0.054667727239858264,0.029292788394476216,0.05870841487279843,0.10371819960861056,0.10699618128107212,0.10256028579934505,0.017578125,0.01952701236710783,0.0078125,0.009765625,0.027339642481598314,0.003898635477582846,0.050769350933374986,0.005853658536585366,0.005853658536585366,0.005853658536585366,0.07094540612516644,0.01171875,0.00390625,0.07596493925880363,0.027715454665434867,0.02537823328452904,0.0670007319407691,0.027319123386370457,0.0273972602739726,0.015625,0.005847953216374269,0.0019569471624266144,0.046851128840604314,0.07218729676999784,0.00390625,0.1112040133779264,0.0939334637964775,0.07501518526017412,0.00390625,0.005825242718446602,0.017569546120058566,0.08888698041909998,0.011705033164260633,0.01952701236710783,0.0850413520316433,0.013662979830839297
