,--,AE,AI,AL,AM,AR,AS,AT,AU,AZ,BA,BD,BE,BG,BH,BO,BR,BS,BY,BZ,CA,CH,CI,CL,CM,CN,CO,CR,CV,CW,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,EU,FI,FR,GB,GE,GM,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IR,IS,IT,JO,JP,KE,KG,KH,KR,KW,KZ,LA,LB,LK,LT,LU,LV,LY,MA,MD,ME,MK,ML,MM,MN,MO,MP,MT,MU,MW,MX,MY,MZ,NA,NG,NI,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PS,PT,PY,RO,RS,RU,RW,SA,SC,SD,SE,SG,SI,SK,SM,SR,SV,SY,TC,TH,TJ,TN,TR,TW,TZ,UA,UG,US,UY,UZ,VE,VG,VN,ZA,ZM,ZW,ZZ
Life,55.75,1.7619047619047619,1.380952380952381,1.0,1.0,3.1363636363636362,1.0,1.679245283018868,6.333333333333333,1.25,1.25,1.3846153846153846,1.8837209302325582,2.425531914893617,2.0,1.1666666666666667,11.277777777777779,1.3125,1.5,1.25,10.2,2.9523809523809526,1.5714285714285714,2.782608695652174,1.0,22.7,1.32,1.0833333333333333,1.0,1.0,1.4444444444444444,7.3076923076923075,25.444444444444443,2.7777777777777777,1.0,2.4482758620689653,1.0,1.9047619047619047,1.0,9.55,1.0,1.5625,1.6923076923076923,44.0,37.166666666666664,1.4545454545454546,1.25,2.6774193548387095,1.1428571428571428,7.6,1.0,1.4166666666666667,2.3773584905660377,2.6666666666666665,1.675,2.0851063829787235,4.666666666666667,3.1777777777777776,1.5,43.2,1.0,2.813953488372093,1.3636363636363635,1.125,1.375,14.642857142857142,1.0,1.3611111111111112,1.0,1.25,1.2,6.071428571428571,2.3461538461538463,1.8571428571428572,1.25,1.25,1.9642857142857142,1.5,1.5,1.5,1.0,1.1428571428571428,1.3333333333333333,1.0,1.0,1.0,1.5,1.5945945945945945,3.642857142857143,1.5,2.0,1.25,1.0,31.571428571428573,1.8979591836734695,1.4285714285714286,1.4210526315789473,2.111111111111111,1.25,1.4210526315789473,1.1818181818181819,15.384615384615385,2.0,1.0,2.4,1.0,4.2631578947368425,1.4666666666666666,55.25,1.0,1.1818181818181819,1.0,1.0,4.2894736842105265,20.4,1.6774193548387097,1.558139534883721,1.0,1.0,1.0,1.2,1.0,5.1875,1.0,1.25,17.166666666666668,2.3125,1.3333333333333333,26.375,1.0,18.846153846153847,1.5,1.3076923076923077,1.2727272727272727,26.0,3.973684210526316,3.4864864864864864,1.0,1.5,5.0
Death,11.0,10.954545454545455,11.318181818181818,68.75,54.8,3.111111111111111,138.5,3.5,3.8214285714285716,54.6,29.77777777777778,18.571428571428573,4.4772727272727275,3.4166666666666665,138.0,38.714285714285715,3.9473684210526314,15.117647058823529,4.204081632653061,12.047619047619047,3.5238095238095237,3.5813953488372094,17.066666666666666,3.260869565217391,92.0,4.636363636363637,9.423076923076923,20.384615384615383,92.0,138.5,26.5,3.259259259259259,5.444444444444445,3.3260869565217392,68.75,6.9,68.75,4.604651162790698,20.46153846153846,4.142857142857143,138.5,14.882352941176471,5.3,9.666666666666666,7.857142857142857,6.764705882352941,29.77777777777778,6.09375,33.75,3.3846153846153846,54.8,9.76,2.814814814814815,3.86046511627907,5.146341463414634,3.75,3.6470588235294117,2.9347826086956523,11.80952380952381,10.333333333333334,92.0,3.5681818181818183,21.916666666666668,29.88888888888889,29.666666666666668,4.866666666666666,92.0,6.1891891891891895,138.5,29.77777777777778,24.181818181818183,3.857142857142857,2.943396226415094,3.74,54.6,29.77777777777778,7.689655172413793,91.66666666666667,38.42857142857143,91.66666666666667,54.8,17.466666666666665,68.5,138.5,54.8,54.8,91.66666666666667,5.7631578947368425,2.9069767441860463,91.66666666666667,138.0,54.6,138.5,7.125,3.7,33.5,5.743589743589744,25.9,20.23076923076923,12.55,22.083333333333332,5.571428571428571,138.0,138.5,4.439024390243903,92.0,2.9743589743589745,4.608695652173913,11.4,92.0,22.083333333333332,138.5,92.0,2.948717948717949,6.7272727272727275,7.0625,4.795454545454546,68.75,68.75,38.857142857142854,45.333333333333336,138.5,3.393939393939394,92.0,29.77777777777778,5.538461538461538,3.4081632653061225,68.5,7.444444444444445,68.75,2.5384615384615383,29.555555555555557,18.642857142857142,22.0,7.777777777777778,3.2564102564102564,3.9210526315789473,68.75,91.66666666666667,5.107142857142857
Life_S,27917.0,12.19047619047619,2.5714285714285716,1.3333333333333333,5.25,23.022727272727273,6.0,9.150943396226415,214.88888888888889,1.75,3.375,5.615384615384615,8.883720930232558,11.553191489361701,8.0,2.6666666666666665,260.6111111111111,1.875,6.979166666666667,3.35,137.55,14.761904761904763,2.2857142857142856,15.869565217391305,1.0,31586.1,3.6,2.25,1.0,1.0,1.6666666666666667,71.61538461538461,11709.666666666666,15.533333333333333,1.3333333333333333,5.586206896551724,2.3333333333333335,4.904761904761905,1.1666666666666667,139.25,1.0,121.5625,6.076923076923077,7094.8,2644.3333333333335,7.757575757575758,2.25,14.129032258064516,2.2857142857142856,196.12,2.0,9.125,25.660377358490567,25.38095238095238,8.075,15.76595744680851,40.78787878787879,22.488888888888887,4.85,3397.4,1.0,15.395348837209303,2.909090909090909,2.625,8.625,317.14285714285717,1.0,4.472222222222222,2.0,2.125,2.1,308.60714285714283,12.01923076923077,9.46938775510204,1.5,4.25,12.0,1.5,2.1666666666666665,2.0,1.25,2.142857142857143,1.6666666666666667,1.0,1.0,1.0,3.0,10.594594594594595,33.714285714285715,2.0,12569.0,2.25,3.0,3305.4285714285716,36.816326530612244,3.4285714285714284,3.8157894736842106,12.222222222222221,2.3333333333333335,3.5789473684210527,15.818181818181818,335.0,6.0,1.0,15.375,1.0,38.026315789473685,4.777777777777778,4456.5,1.0,2.090909090909091,1.0,1.0,333.10526315789474,651.4,7.032258064516129,7.837209302325581,1.0,1.0,2.5,5.8,1.0,47.34375,1.0,4.5,323.0,20.9375,1.3333333333333333,1543.75,1.0,127393.46153846153,3.75,2.5384615384615383,3.090909090909091,1147.0,26.44736842105263,27.35135135135135,1.0,5.0,51.851851851851855
Death_S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Severity,129.54701834862385,3.084656084656084,1.6269841269841272,1.3333333333333333,5.25,4.231129187212075,6.0,3.4984276729559745,6.073264389931056,1.5,2.5,2.9871794871794872,3.1550387596899228,3.5416075650118204,4.0,2.1666666666666665,32.7887565907232,1.390625,2.9947916666666665,2.325,9.767441809398331,2.9628968253968253,1.3071428571428572,3.854763934559331,1.0,148.07568807339447,2.1,1.8333333333333333,1.0,1.0,1.0555555555555556,4.821956808296331,54.22070707070707,4.07993265993266,1.3333333333333333,1.9806808134394343,2.3333333333333335,2.067460317460317,1.1666666666666667,9.329170571597434,1.0,60.95625,2.121672771672772,35.03611111111111,13.180491551459292,2.97979797979798,1.6875,3.0779453521389004,1.9285714285714286,5.642622342831299,2.0,4.472222222222222,5.3283917340521105,4.7067486085343235,2.6819444444444445,6.684633569739955,6.678043009621957,6.377876814543481,2.42,42.26162895927602,1.0,3.555910497770963,2.0681818181818183,2.4375,3.7708333333333335,12.607953853560455,1.0,2.8333333333333335,2.0,1.5625,1.6,7.562572150072151,2.848824786324786,4.375,1.125,2.75,3.9975649350649354,1.0,1.388888888888889,1.5,1.25,1.75,1.1666666666666667,1.0,1.0,1.0,2.25,4.396396396396397,5.225357050357051,1.25,6284.5,1.5,3.0,30.712215933091155,8.627153458786111,2.357142857142857,2.1666666666666665,2.7777777777777777,1.5416666666666667,1.8771929824561402,10.727272727272727,8.594223084607702,3.0,1.0,3.2998669467787116,1.0,5.901492196886934,2.223544973544973,21.68692660550459,1.0,1.6818181818181819,1.0,1.0,45.65388755980861,12.777991120801339,3.2488479262672807,3.8604651162790704,1.0,1.0,2.5,4.3,1.0,6.049002886410975,1.0,2.875,14.528326418951421,5.962268518518518,1.0,13.48087318087318,1.0,583.600210748156,2.5625,1.7692307692307692,2.409090909090909,28.888605622429154,3.6555240621316143,3.768086268086268,1.0,4.25,3.3402027804201717
Number of Lives,4.0,21.0,21.0,3.0,4.0,44.0,1.0,53.0,27.0,4.0,8.0,13.0,43.0,47.0,1.0,6.0,18.0,16.0,48.0,20.0,20.0,42.0,14.0,46.0,2.0,10.0,25.0,12.0,2.0,1.0,9.0,26.0,9.0,45.0,3.0,29.0,3.0,42.0,12.0,20.0,1.0,16.0,39.0,5.0,6.0,33.0,8.0,31.0,7.0,25.0,4.0,24.0,53.0,42.0,40.0,47.0,33.0,45.0,20.0,5.0,2.0,43.0,11.0,8.0,8.0,14.0,2.0,36.0,1.0,8.0,10.0,28.0,52.0,49.0,4.0,8.0,28.0,2.0,6.0,2.0,4.0,14.0,3.0,1.0,4.0,4.0,2.0,37.0,42.0,2.0,1.0,4.0,1.0,7.0,49.0,7.0,38.0,9.0,12.0,19.0,11.0,13.0,1.0,1.0,40.0,2.0,38.0,45.0,4.0,2.0,11.0,1.0,2.0,38.0,10.0,31.0,43.0,3.0,3.0,6.0,5.0,1.0,32.0,2.0,8.0,12.0,48.0,3.0,8.0,3.0,13.0,8.0,13.0,11.0,8.0,38.0,37.0,3.0,2.0,27.0
Number of Deaths,5.0,22.0,22.0,4.0,5.0,45.0,2.0,54.0,28.0,5.0,9.0,14.0,44.0,48.0,2.0,7.0,19.0,17.0,49.0,21.0,21.0,43.0,15.0,46.0,3.0,11.0,26.0,13.0,3.0,2.0,10.0,27.0,9.0,46.0,4.0,30.0,4.0,43.0,13.0,21.0,2.0,17.0,40.0,6.0,7.0,34.0,9.0,32.0,8.0,26.0,5.0,25.0,54.0,43.0,41.0,48.0,34.0,46.0,21.0,6.0,3.0,44.0,12.0,9.0,9.0,15.0,3.0,37.0,2.0,9.0,11.0,28.0,53.0,50.0,5.0,9.0,29.0,3.0,7.0,3.0,5.0,15.0,4.0,2.0,5.0,5.0,3.0,38.0,43.0,3.0,2.0,5.0,2.0,8.0,50.0,8.0,39.0,10.0,13.0,20.0,12.0,14.0,2.0,2.0,41.0,3.0,39.0,46.0,5.0,3.0,12.0,2.0,3.0,39.0,11.0,32.0,44.0,4.0,4.0,7.0,6.0,2.0,33.0,3.0,9.0,13.0,49.0,4.0,9.0,4.0,13.0,9.0,14.0,12.0,9.0,39.0,38.0,4.0,3.0,28.0
Reciprocal Mean Duration,0.0149812734082397,0.07863829787234043,0.07874552582239645,0.014336917562724014,0.01792114695340502,0.16006467259498788,0.007168458781362007,0.1930783242258652,0.0984759671746776,0.017905102954341987,0.03222918531781558,0.05011013215859031,0.15720814291649357,0.17116843702579665,0.007142857142857143,0.02507462686567164,0.06568081428845784,0.06086372790333408,0.17531305903398928,0.07520143240823635,0.07286606523247745,0.15305084745762712,0.053653551354113434,0.1654676258992806,0.010752688172043012,0.03658131027602261,0.09308320206215093,0.04658106897581368,0.010752688172043012,0.007168458781362007,0.03578528827037773,0.09463467241844163,0.03237410071942446,0.16383062920459043,0.014336917562724014,0.10697159719660641,0.014336917562724014,0.153623681524328,0.04659498207885305,0.07303077725612937,0.007168458781362007,0.06080930024591996,0.14301430143014301,0.018633540372670808,0.0222104706504495,0.12166558230318804,0.03222918531781558,0.11400988392138835,0.028659160696008185,0.09103641456582633,0.01792114695340502,0.0894721145243066,0.19259757738896366,0.15320665083135393,0.14659873066952714,0.17137648131267091,0.12028301886792452,0.16359756579467322,0.07513416815742396,0.0186799501867995,0.010752688172043012,0.15668737060041407,0.042954767328343635,0.032243618450515,0.03221476510067114,0.051257017329753476,0.010752688172043012,0.13244506314010143,0.007168458781362007,0.03222918531781558,0.03939828080229226,0.10071942446043165,0.18905199615859514,0.17866258295048493,0.017905102954341987,0.03222918531781558,0.10358464089807373,0.01073345259391771,0.02504472271914132,0.01073345259391771,0.01792114695340502,0.05373592630501536,0.014319809069212411,0.007168458781362007,0.01792114695340502,0.01792114695340502,0.01073345259391771,0.13591106814886417,0.15267562769464876,0.01073345259391771,0.007142857142857143,0.017905102954341987,0.007168458781362007,0.025842178126442086,0.17863652934742982,0.028629856850715743,0.1395743077792428,0.03570011900039667,0.046553267681289166,0.07157656809191938,0.0429827417779225,0.04771893025694809,0.007142857142857143,0.007168458781362007,0.14621968616262482,0.010752688172043012,0.13816893529740815,0.16459923664122136,0.015003750937734431,0.010752688172043012,0.0429827417779225,0.007168458781362007,0.010752688172043012,0.1381560548149529,0.036863270777479897,0.11441753171856978,0.15739123201064803,0.014336917562724014,0.014336917562724014,0.025089605734767026,0.02148997134670487,0.007168458781362007,0.11653056720370779,0.010752688172043012,0.03222918531781558,0.044042913608131,0.17480490523968786,0.014319809069212411,0.029568788501026694,0.014336917562724014,0.04676258992805755,0.032200357781753126,0.0501239328008813,0.04296875,0.029605263157894735,0.13831077928138125,0.13499759961593855,0.014336917562724014,0.01073345259391771,0.0989399293286219
