,--,AE,AI,AL,AO,AR,AS,AT,AU,AZ,BA,BD,BE,BG,BR,BS,BY,BZ,CA,CD,CH,CI,CL,CN,CO,CR,CW,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,EU,FI,FR,GB,GE,GH,GR,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JP,KE,KG,KH,KR,KW,KZ,LA,LK,LT,LU,LV,MA,MD,ME,MK,MN,MT,MU,MX,MY,MZ,NA,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PS,PT,QA,RO,RS,RU,SA,SC,SD,SE,SG,SI,SK,SM,SN,SV,SY,TH,TN,TR,TT,TW,UA,US,UZ,VE,VG,VN,ZA,ZZ,xx
Life,10.36,1.6,1.0,1.0,1.0,1.488888888888889,1.0,1.7884615384615385,4.906976744186046,1.0833333333333333,3.0,1.2,2.787878787878788,2.238095238095238,2.5961538461538463,1.9,1.8823529411764706,2.073170731707317,7.725,1.0,2.5434782608695654,1.0,1.8064516129032258,4.4,1.3,1.4,1.0,2.75,4.271186440677966,7.150943396226415,2.94,1.0,1.0,1.0,5.617647058823529,1.0,3.5238095238095237,2.2,2.066666666666667,6.4523809523809526,8.605263157894736,1.3333333333333333,1.0,2.2666666666666666,5.8125,1.0,1.2,1.9024390243902438,1.5384615384615385,2.5161290322580645,1.3928571428571428,5.121212121212121,1.0,1.393939393939394,2.423076923076923,4.621621621621622,2.1025641025641026,1.0,2.0,1.0,2.2711864406779663,1.0,2.1785714285714284,1.0,1.0,6.212121212121212,3.672727272727273,4.0,1.0,2.3076923076923075,1.0,1.0,1.0,6.333333333333333,1.5,1.4736842105263157,2.5098039215686274,1.0,3.6470588235294117,9.567567567567568,1.3043478260869565,1.0,1.368421052631579,1.4285714285714286,1.0,1.1666666666666667,1.0,6.0606060606060606,1.0,1.0,2.125,1.0,4.622222222222222,2.75,8.046511627906977,1.3333333333333333,1.5,1.0,3.5238095238095237,5.857142857142857,1.5128205128205128,1.6571428571428573,1.0,1.0,1.0,1.0,3.6,1.0,10.04,1.0,1.2333333333333334,11.482758620689655,21.045454545454547,1.0,2.0,8.758620689655173,1.5365853658536586,1.9534883720930232,5.166666666666667,1.0
Death,8.961538461538462,17.384615384615383,245.5,163.33333333333334,245.5,9.23913043478261,245.5,7.528301886792453,6.534883720930233,36.84615384615385,46.5,81.0,11.764705882352942,9.255813953488373,6.735849056603773,21.61904761904762,25.555555555555557,9.69047619047619,4.463414634146342,245.5,7.9787234042553195,245.5,13.625,4.545454545454546,43.54545454545455,80.83333333333333,245.5,26.352941176470587,4.067796610169491,2.0925925925925926,6.764705882352941,81.16666666666667,81.16666666666667,163.33333333333334,8.852941176470589,69.42857142857143,8.19047619047619,5.287878787878788,28.8125,5.261904761904762,4.230769230769231,48.0,81.16666666666667,13.67741935483871,9.272727272727273,245.5,29.625,9.857142857142858,16.74074074074074,12.9375,7.2631578947368425,9.5,245.5,13.117647058823529,15.88888888888889,8.447368421052632,10.25,163.33333333333334,27.058823529411764,245.5,5.966666666666667,245.5,14.862068965517242,245.5,163.33333333333334,8.441176470588236,5.178571428571429,6.333333333333333,245.5,5.181818181818182,163.33333333333334,163.33333333333334,81.16666666666667,118.25,97.2,23.2,7.0,245.5,5.884615384615385,3.6315789473684212,19.25,245.5,23.3,8.44,122.25,69.28571428571429,69.42857142857143,8.588235294117647,245.5,163.33333333333334,12.848484848484848,245.5,6.173913043478261,35.30769230769231,3.3181818181818183,36.61538461538461,69.0,122.25,4.21875,8.2,10.825,12.055555555555555,122.25,245.5,245.5,245.5,8.487804878048781,69.42857142857143,9.26923076923077,245.5,14.67741935483871,5.482758620689655,1.3181818181818181,69.42857142857143,162.66666666666666,8.206896551724139,10.214285714285714,9.272727272727273,10.870967741935484,245.5
Life_S,1303.36,5.92,2.0,2.5,4.0,6.8,20.0,21.346153846153847,324.93023255813955,37.666666666666664,190.22222222222223,3.0,32.24242424242424,12.666666666666666,30.134615384615383,11.8,6.529411764705882,31.536585365853657,168.65,4.0,19.108695652173914,2.0,7.225806451612903,151.4181818181818,2.7,14.2,1.0,41.8125,106.9322033898305,929.377358490566,34.42,2.0,1.0,2.0,178.5,4.5,184.61904761904762,18.06153846153846,37.86666666666667,633.6666666666666,415.57894736842104,3.111111111111111,2.0,18.333333333333332,172.65625,2.0,3.466666666666667,10.951219512195122,9.192307692307692,27.225806451612904,6.125,87.15151515151516,27.0,7.7272727272727275,26.23076923076923,135.75675675675674,10.025641025641026,2.0,85.4375,2.0,25.11864406779661,2.0,11.178571428571429,2.0,2.0,212.78787878787878,79.0,90.36170212765957,1.0,36.06153846153846,1.5,2.0,2.0,65.0,29.5,7.157894736842105,24.15686274509804,1.0,268.45098039215685,631.8108108108108,7.434782608695652,2.0,8.68421052631579,11.673469387755102,1.6666666666666667,5.333333333333333,2.3333333333333335,240.33333333333334,2.0,1.5,13.625,2.0,189.73333333333332,129.25,1535.6976744186047,32.0,5.5,2.0,51.17460317460318,213.97142857142856,10.487179487179487,30.257142857142856,4.0,1.0,4.0,2.0,75.75,1.8333333333333333,423.12,4.0,63.8,270.6551724137931,32831.13636363636,2.6666666666666665,8.0,688.0,7.048780487804878,12.13953488372093,103.86666666666666,3.0
Death_S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Severity,56.57443374071412,3.1346666666666665,2.0,2.5,4.0,3.7518518518518515,20.0,8.261401098901098,5.9470156948104025,37.25,34.12433862433862,2.5,7.6331487140310665,5.296371882086167,8.471947496947497,4.3202380952380945,2.7521008403361344,4.433943089430895,7.542750409282981,4.0,4.852506038647343,2.0,3.866129032258064,29.8835778841042,2.033333333333333,11.6,1.0,11.321726190476191,12.50593359494587,12.247244397153011,4.30581560283688,2.0,1.0,2.0,22.183658463385353,4.5,7.996771284271285,5.213135198135198,11.344444444444445,8.729297592052694,6.044652687211171,2.7222222222222223,2.0,9.037157287157287,12.333739296157061,2.0,2.6444444444444444,5.111111111111111,4.2243589743589745,4.64898058930317,4.419642857142858,9.452427170253257,27.0,4.372727272727273,5.528846153846154,9.25472972972973,3.370726495726496,2.0,35.54017857142857,2.0,10.06951118561288,2.0,4.620238095238095,2.0,2.0,7.17874450989205,6.362709921177774,5.975449845662611,1.0,7.068865578865579,1.5,2.0,2.0,8.116666666666667,11.0,4.934210526315789,6.616153127917833,1.0,47.21110882261402,9.204661626958309,4.25,2.0,5.324561403508772,9.962585034013605,1.6666666666666667,3.6666666666666665,2.3333333333333335,12.39273153746838,2.0,1.5,3.7337797619047617,2.0,10.326877322031367,30.24206349206349,14.056861283571267,21.666666666666668,3.222222222222222,2.0,9.899706440462744,6.581763125763127,5.659829059829059,9.294285714285715,4.0,1.0,4.0,2.0,5.673677248677249,1.8333333333333333,10.419170426065163,4.0,23.738888888888887,6.400383141762452,147.42468488582566,2.6666666666666665,3.6666666666666665,4.842319749216301,3.735772357723577,4.475700655933215,5.669057971014492,3.0
Number of Lives,25.0,25.0,1.0,2.0,1.0,45.0,1.0,52.0,43.0,12.0,9.0,5.0,33.0,42.0,52.0,20.0,17.0,41.0,40.0,1.0,46.0,1.0,31.0,55.0,10.0,5.0,1.0,16.0,59.0,53.0,50.0,5.0,5.0,2.0,34.0,6.0,42.0,65.0,15.0,42.0,38.0,9.0,5.0,30.0,32.0,1.0,15.0,41.0,26.0,31.0,56.0,33.0,1.0,33.0,26.0,37.0,39.0,2.0,16.0,1.0,59.0,1.0,28.0,1.0,2.0,33.0,55.0,47.0,1.0,65.0,2.0,2.0,5.0,3.0,4.0,19.0,51.0,1.0,51.0,37.0,23.0,1.0,19.0,49.0,3.0,6.0,6.0,33.0,1.0,2.0,32.0,1.0,45.0,12.0,43.0,12.0,6.0,3.0,63.0,35.0,39.0,35.0,3.0,1.0,1.0,1.0,40.0,6.0,25.0,1.0,30.0,29.0,22.0,6.0,2.0,29.0,41.0,43.0,30.0,1.0
Number of Deaths,26.0,26.0,2.0,3.0,2.0,46.0,2.0,53.0,43.0,13.0,10.0,6.0,34.0,43.0,53.0,21.0,18.0,42.0,41.0,2.0,47.0,2.0,32.0,55.0,11.0,6.0,2.0,17.0,59.0,54.0,51.0,6.0,6.0,3.0,34.0,7.0,42.0,66.0,16.0,42.0,39.0,10.0,6.0,31.0,33.0,2.0,16.0,42.0,27.0,32.0,57.0,34.0,2.0,34.0,27.0,38.0,40.0,3.0,17.0,2.0,60.0,2.0,29.0,2.0,3.0,34.0,56.0,48.0,2.0,66.0,3.0,3.0,6.0,4.0,5.0,20.0,52.0,2.0,52.0,38.0,24.0,2.0,20.0,50.0,4.0,7.0,7.0,34.0,2.0,3.0,33.0,2.0,46.0,13.0,44.0,13.0,7.0,4.0,64.0,35.0,40.0,36.0,4.0,2.0,2.0,2.0,41.0,7.0,26.0,2.0,31.0,29.0,22.0,7.0,3.0,29.0,42.0,44.0,31.0,2.0
Reciprocal Mean Duration,0.05175571303447727,0.0526742301458671,0.004056795131845842,0.006085192697768763,0.004056795131845842,0.09321385148826945,0.004056795131845842,0.10733341122405264,0.08739837398373984,0.026364711847219873,0.020202020202020204,0.0121654501216545,0.06871631553160215,0.08700260140668657,0.10715813212022242,0.042518728487548084,0.036445926631729395,0.08500765167596386,0.08204512481865027,0.004056795131845842,0.09503714448986768,0.004056795131845842,0.06480271753331591,0.11178861788617886,0.022298803973241434,0.012160518848804215,0.004056795131845842,0.03436078827690753,0.11991869918699188,0.10818370818370818,0.10304279306582616,0.012170385395537525,0.012170385395537525,0.006085192697768763,0.06910569105691057,0.014198782961460446,0.08536585365853659,0.13354917037636585,0.03238429361759547,0.08536585365853658,0.07790569310834254,0.020270270270270268,0.012170385395537525,0.06271917992986242,0.06629001883239172,0.004056795131845842,0.032441200324412,0.08503703703703704,0.05470698254364089,0.06470971950424005,0.11552660152008687,0.06839378238341969,0.004056795131845842,0.06891045326127011,0.05460910151691949,0.07651700680272108,0.08095485210171251,0.006085192697768763,0.03441295546558704,0.004056795131845842,0.12139085110760577,0.004056795131845842,0.05868324058683241,0.004056795131845842,0.006085192697768763,0.06824402408612615,0.11297777125669428,0.09677419354838711,0.004056795131845842,0.13352007469654528,0.006085192697768763,0.006085192697768763,0.012170385395537525,0.00802675585284281,0.010131712259371834,0.04052901023890785,0.10515463917525773,0.004056795131845842,0.10491336339900309,0.07576247440456946,0.04865150713907985,0.004056795131845842,0.04053765735011734,0.1013317892298784,0.008113590263691683,0.0141939844542075,0.014198782961460446,0.06826478461912874,0.004056795131845842,0.006085192697768763,0.06678472046546927,0.004056795131845842,0.09262573832110257,0.02627589691763517,0.08799181471491024,0.026351351351351353,0.014184397163120567,0.008113590263691683,0.1291562560061503,0.07113821138211382,0.08105159245596717,0.07292510707257785,0.008113590263691683,0.004056795131845842,0.004056795131845842,0.004056795131845842,0.08272800645682002,0.014198782961460446,0.05178870209545056,0.004056795131845842,0.06285057781982835,0.05894308943089431,0.044715447154471545,0.014198782961460446,0.006072874493927126,0.05894308943089431,0.08510007412898443,0.08907721280602636,0.062353335568219904,0.004056795131845842
