,--,AE,AI,AR,AT,AU,BE,BG,BR,BS,BY,CA,CH,CL,CN,CO,CR,CW,CY,CZ,DE,DK,EC,EE,ES,EU,FI,FR,GB,GE,GI,GR,GT,HK,HU,ID,IE,IL,IN,IR,IT,JO,JP,KG,KR,KZ,LI,LT,LU,LV,MD,MK,MT,MX,MY,NA,NL,NO,NZ,PA,PE,PH,PL,PT,QA,RO,RS,RU,SA,SE,SG,SI,SK,TH,TR,TW,UA,US,VG,VN,ZA,ZZ
Life,9.615384615384615,1.0,1.0,1.0,1.6486486486486487,2.171875,1.3953488372093024,1.1176470588235294,1.1923076923076923,1.3125,1.0,3.014925373134328,1.4871794871794872,1.0,13.055555555555555,2.5,1.0,1.0,1.0,2.94,5.37037037037037,1.5227272727272727,4.0,1.125,1.7962962962962963,1.0,1.1428571428571428,8.466666666666667,6.8108108108108105,1.0,1.0,1.0,1.0,1.5277777777777777,1.1702127659574468,1.1875,1.0,2.462962962962963,1.696969696969697,1.4090909090909092,2.489795918367347,1.0,5.0285714285714285,1.0,1.8222222222222222,1.0,1.0,1.2,1.0769230769230769,1.1538461538461537,1.1111111111111112,1.0,1.0,1.0,1.6666666666666667,1.5616438356164384,7.735294117647059,1.1111111111111112,1.0,1.0,1.0,1.0,1.8571428571428572,1.4482758620689655,1.0,1.6756756756756757,1.0,6.351351351351352,1.0,3.311111111111111,5.076923076923077,1.0,1.2571428571428571,1.4761904761904763,1.2758620689655173,1.4285714285714286,2.1724137931034484,19.208333333333332,4.081632653061225,1.0,1.25,2.0952380952380953
Death,8.74074074074074,96.4,96.4,23.35,11.18421052631579,5.338461538461538,9.681818181818182,25.944444444444443,16.85185185185185,27.352941176470587,59.875,4.176470588235294,10.7,68.57142857142857,13.210526315789474,160.33333333333334,120.75,59.875,80.16666666666667,6.647058823529412,3.6296296296296298,9.311111111111112,241.0,27.529411764705884,7.072727272727272,36.46153846153846,21.0,7.483870967741935,6.157894736842105,47.7,242.5,29.4375,161.33333333333334,11.64864864864865,8.979166666666666,27.470588235294116,24.63157894736842,6.418181818181818,12.647058823529411,19.782608695652176,7.28,161.33333333333334,8.61111111111111,161.33333333333334,8.782608695652174,161.33333333333334,120.75,17.53846153846154,16.962962962962962,16.88888888888889,47.6,161.33333333333334,161.33333333333334,80.16666666666667,24.0,5.027027027027027,6.371428571428571,16.285714285714285,80.16666666666667,120.75,161.33333333333334,80.16666666666667,11.694444444444445,14.8,96.4,11.157894736842104,161.33333333333334,6.605263157894737,242.5,7.326086956521739,7.384615384615385,68.57142857142857,12.277777777777779,20.681818181818183,14.966666666666667,20.727272727272727,6.101694915254237,1.0416666666666667,5.72,39.583333333333336,18.24,9.255813953488373
Life_S,1801.0384615384614,2.25,1.25,1.4736842105263157,4.1891891891891895,8.046875,2.2093023255813953,1.411764705882353,11.346153846153847,1.9375,1.5714285714285714,13.447761194029852,3.2564102564102564,1.8333333333333333,168.77777777777777,5.0,1.3333333333333333,1.2857142857142858,1.4,10.6,256.44444444444446,7.4772727272727275,4.0,3.0,6.148148148148148,1.6666666666666667,1.619047619047619,255.26666666666668,67.27027027027027,1.4444444444444444,1.0,1.4666666666666666,1.0,3.1666666666666665,13.446808510638299,1.6875,1.7777777777777777,9.814814814814815,4.181818181818182,2.1818181818181817,19.46938775510204,1.5,17.97142857142857,1.0,5.222222222222222,1.0,1.0,2.68,1.6153846153846154,2.0384615384615383,1.2222222222222223,1.0,1.0,5.0,9.333333333333334,9.424657534246576,212.0,2.962962962962963,1.4,1.3333333333333333,5.0,1.4,6.314285714285714,4.344827586206897,1.0,3.810810810810811,1.5,58.62162162162162,31.0,22.57777777777778,26.487179487179485,1.0,2.8857142857142857,6.380952380952381,2.2758620689655173,2.4285714285714284,7.637931034482759,33244.791666666664,23.857142857142858,1.9090909090909092,2.9166666666666665,5.119047619047619
Death_S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Severity,47.0246750965929,2.25,1.25,1.4736842105263157,2.333128583128583,3.4460565476190474,1.6298449612403099,1.2941176470588236,8.320512820512821,1.53125,1.5714285714285714,3.279598817921908,2.4136752136752135,1.8333333333333333,2.856224279835391,2.0,1.3333333333333333,1.2857142857142858,1.4,3.1758305860805858,3.89041095890411,5.288257575757576,1.0,2.40625,3.11929012345679,1.6666666666666667,1.4761904761904763,5.389296636085628,2.966433231677134,1.4444444444444444,1.0,1.4666666666666666,1.0,1.8697089947089947,13.154255319148936,1.34375,1.7777777777777777,3.68042695473251,2.374747474747475,1.583333333333333,5.550478433131495,1.5,3.055681909127287,1.0,2.8288888888888883,1.0,1.0,1.87,1.5384615384615385,1.8269230769230769,1.1111111111111112,1.0,1.0,5.0,2.2916666666666665,5.540867579908676,5.871791443850268,2.759259259259259,1.4,1.3333333333333333,5.0,1.4,3.9714285714285715,2.8793103448275863,1.0,2.1637709137709136,1.5,3.822026585408938,31.0,4.3794301994302,3.6519127958189537,1.0,2.4285714285714284,2.984126984126984,1.7758620689655173,1.6785714285714286,2.9545454545454546,141.65739809975798,3.5833062968777254,1.9090909090909092,2.125,2.130555555555556
Number of Lives,26.0,4.0,4.0,19.0,37.0,64.0,43.0,17.0,26.0,16.0,7.0,67.0,39.0,6.0,18.0,2.0,3.0,7.0,5.0,50.0,54.0,44.0,1.0,16.0,54.0,12.0,21.0,30.0,37.0,9.0,1.0,15.0,2.0,36.0,47.0,16.0,18.0,54.0,33.0,22.0,49.0,2.0,35.0,2.0,45.0,2.0,3.0,25.0,26.0,26.0,9.0,2.0,2.0,5.0,18.0,73.0,34.0,27.0,5.0,3.0,2.0,5.0,35.0,29.0,4.0,37.0,2.0,37.0,1.0,45.0,39.0,6.0,35.0,21.0,29.0,21.0,58.0,24.0,49.0,11.0,24.0,42.0
Number of Deaths,27.0,5.0,5.0,20.0,38.0,65.0,44.0,18.0,27.0,17.0,8.0,68.0,40.0,7.0,19.0,3.0,4.0,8.0,6.0,51.0,54.0,45.0,2.0,17.0,55.0,13.0,22.0,31.0,38.0,10.0,2.0,16.0,3.0,37.0,48.0,17.0,19.0,55.0,34.0,23.0,50.0,3.0,36.0,3.0,46.0,3.0,4.0,26.0,27.0,27.0,10.0,3.0,3.0,6.0,19.0,74.0,35.0,28.0,6.0,4.0,3.0,6.0,36.0,30.0,5.0,38.0,3.0,38.0,2.0,46.0,39.0,7.0,36.0,22.0,30.0,22.0,59.0,24.0,50.0,12.0,25.0,43.0
Reciprocal Mean Duration,0.054477727766568375,0.01026694045174538,0.01026694045174538,0.04106776180698152,0.07792495704705425,0.13314982556092567,0.09027578967458727,0.03695205893008091,0.0554195942212047,0.03488521226112608,0.01642710472279261,0.13905506043218166,0.08205343993267411,0.014373716632443531,0.038071913614605365,0.006141248720573183,0.008213552361396304,0.01642710472279261,0.012320328542094455,0.10430727696649895,0.1111111111111111,0.09230338911938836,0.004081632653061225,0.03489863997947139,0.11275198359971149,0.026694045174537988,0.04516129032258065,0.06269381151408926,0.07710869803663485,0.02053388090349076,0.004106776180698152,0.03285420944558522,0.006160164271047227,0.07589311150361802,0.09852819146613094,0.03489416292495189,0.039014373716632446,0.11259809682678093,0.06971542189635889,0.04718828686002051,0.10235628342245989,0.006160164271047227,0.07331548935179798,0.006160164271047227,0.09429664723032069,0.006160164271047227,0.008213552361396304,0.053366174055829226,0.055432722678458626,0.05542396968261488,0.02052919708029197,0.006160164271047227,0.006160164271047227,0.012320328542094455,0.03896103896103896,0.15177567992807373,0.07088818728778222,0.057481751824817524,0.012320328542094455,0.008213552361396304,0.006160164271047227,0.012320328542094455,0.07379209370424597,0.06154499151103566,0.01026694045174538,0.07792063843937043,0.006160164271047227,0.07718065543173958,0.004106776180698152,0.09400971887914983,0.08024691358024691,0.014373716632443531,0.07388296000938196,0.04513040929959949,0.06156676809850683,0.045134818288393906,0.12085893904075723,0.04938271604938271,0.10202381943866078,0.02464065708418891,0.051308363263211906,0.08809756097560975
