,AD,AE,AF,AG,AI,AL,AM,AN,AO,AR,AS,AT,AU,AW,AZ,BA,BB,BD,BE,BF,BG,BH,BI,BJ,BM,BN,BO,BR,BS,BT,BW,BY,BZ,CA,CD,CG,CH,CI,CL,CM,CN,CO,CR,CS,CU,CV,CW,CY,CZ,DE,DJ,DK,DM,DO,DZ,EC,EE,EG,ES,ET,EU,FI,FJ,FR,GA,GB,GD,GE,GH,GI,GM,GR,GT,GU,GY,HK,HN,HR,HT,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JM,JO,JP,KE,KG,KH,KM,KR,KW,KY,KZ,LA,LB,LI,LK,LR,LS,LT,LU,LV,LY,MA,MD,ME,MF,MG,MH,MK,ML,MM,MN,MO,MP,MR,MT,MU,MV,MW,MX,MY,MZ,NC,NE,NG,NI,NL,NO,NP,NZ,OM,PA,PE,PF,PG,PH,PK,PL,PR,PS,PT,PY,QA,RE,RO,RS,RU,RW,SA,SC,SD,SE,SG,SI,SK,SM,SN,SO,SR,SV,SX,SY,SZ,TC,TD,TH,TJ,TM,TN,TR,TT,TW,TZ,UA,UG,US,UY,UZ,VC,VE,VG,VN,VU,YE,ZA,ZM,ZW
Exploits,0.0019481025481181329,0.002319549160323204,0.0,0.0,0.08771929824561403,0.0,0.00016046419081117857,0.0,0.0,0.00034913442801046113,0.0,0.00035795422004161813,0.0003122449272216648,0.0,0.0005248517293864484,0.0033901588531576906,0.0,0.0001391060488874298,0.00012596679515279772,0.0,0.001651064857672555,0.0,0.0,0.0,0.0,0.0,8.682002555981552e-05,0.00023484637941330438,0.006948690866640725,0.0,0.0,0.0009087954290797431,0.0033618718902685015,0.0003663461092982392,0.0,0.0,0.00021431946627371038,0.0,0.00043262478570324535,0.0,0.00024083422239089592,3.459509725200764e-05,7.726148221517941e-05,0.0,0.0,0.0,0.00036371042830540037,0.00027459602348345194,0.004055406769690521,0.0019677121503590177,0.0,0.0012098115718476847,0.0,0.0,0.00014586104693225046,0.0001149959291441083,0.001662565671344018,0.00013135835750910927,0.0006591683937882126,0.0,0.0005913683715829874,0.00011710700608766133,0.0006781500067815,0.0011707647519880436,0.0,0.00047816853914729604,0.0,0.00082118256859338,0.0,0.0,0.0,0.000370129723738539,0.0003250235642084051,0.0,0.0,0.0014609955106529948,0.00018843463579353595,0.0002941908239360379,0.0,0.0011679814639648943,9.375319174468954e-05,0.00034741900907639715,0.0006769556108489427,0.00021583618896602234,0.0,0.00039820744885228485,0.0015402150140159565,0.00045910845524614494,0.0,0.0007398594858864404,2.9915415095608786e-05,1.8339319592903782e-05,0.0014334451420544136,0.0,0.0,0.0002318453869483519,0.0,0.0028678933602532923,0.0007906763445451239,0.001289058471692276,0.0001662504862826724,0.0,0.00036360991927859794,0.0,0.0,0.007730387857344612,0.014637843339507677,0.011139935907218068,0.0,5.6111710934909947e-05,0.008521892447840141,0.0,0.0,0.0,0.0,0.0002854940474491107,0.0,0.0,0.0012948000828672053,0.0005977429227237949,0.0,0.0,0.00016110842597067828,0.00010511378567299102,0.0,0.0,2.4216591534114846e-05,0.0010452647416672987,0.0,0.0006046826625386997,0.0,0.0003940585429133694,0.0,0.0032515876554141654,8.618273991181782e-05,0.0,0.0002008944970979355,0.0,0.0018371801568653934,3.136129338991747e-05,0.0007765904572564613,0.0015586034912718205,7.294760100871943e-05,0.00018533317715924272,0.0011348761519711218,0.0,0.0002998734534026641,0.00017835130272250292,0.0,0.0,0.0,0.0012102316481312344,0.0011449991720775218,0.0035054182887860287,0.0,0.00010209720130017383,2.5002275207043842e-05,0.0,0.0006608366508051505,0.0027145631498988456,0.0003078073802975574,0.0007581353336553603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010579631564330773,0.0,0.0,1.6615027162246406e-05,0.0024889119276410927,0.0,0.00010131733930310107,0.0,0.01005508203814862,0.0,0.0013672022001604545,0.0,0.0015943114965802018,0.0,5.8729217198263965e-05,0.17847885655039622,0.00040863206957055285,0.0,0.0028563267637817767,0.00014916509176081413,0.0,0.0
Fraudlent Services,0.0,0.0010084996349231322,0.0,0.0,0.009746588693957114,0.0005301917703633405,0.0,0.0,7.886584604125e-05,0.0003178686583378825,0.015024038461538462,0.000749999318182438,0.0008607277928018259,0.0,0.00039363879703983623,0.006174932196822937,0.0,0.0002782120977748596,0.0003674031525289934,0.0,0.0029176351594487615,0.0,0.0,0.0,0.0,0.0,0.0,0.0003480971715161669,0.012507643559953305,0.0,0.0,0.0009087954290797431,0.12382894795822313,0.000875776894281986,0.0006370319407815108,0.0,0.0006429583988211311,0.00011009626817689387,0.0005702781266088234,0.0,0.0001232175091302258,5.189264587801146e-05,0.00034767666996830734,0.0,0.0,0.0,0.00036371042830540037,0.0015560441330728942,0.004821428048409841,0.0032696693762536365,0.0,0.002117170250733448,0.0,0.00025257372627069844,8.334916967557169e-05,7.666395276273887e-05,0.036007672303055974,2.1893059584851544e-05,0.0007067045760325548,0.0,0.000673611655048171,0.00023421401217532266,0.0,0.0027589144422962455,0.0,0.0015673302116494703,0.0,0.000985419082312056,0.00022304978649674437,0.0,0.0,0.0009926206227533546,0.0,0.0,0.0,0.003105659028359509,0.00018843463579353595,0.0005883816478720758,0.0,0.0009648542528405648,0.00018750638348937908,0.0006495224952297859,0.0009373231534831514,0.0005563777315568576,0.00014719736222326896,0.0003088139399262617,0.003960552893183889,0.0006375473690260232,0.0,0.0,6.228291339577567e-05,3.6678639185807565e-05,0.0050170579971904475,0.00032163855545691973,0.0,0.00014212744027485174,5.091006838240385e-05,0.0,0.0011530696691283058,0.001289058471692276,0.0,0.0,0.00018180495963929897,0.0,0.0,0.026424546954673167,0.03269574353404051,0.0107329976092375,0.0,9.351951822484991e-06,0.013444019982368499,0.0004524395540755755,0.0,0.0,0.0,0.00014274702372455534,0.0,0.0,0.002158000138112009,0.0,0.0,0.0,0.0009666505558240696,0.00031534135701897305,0.0,0.0,6.57307484497403e-05,0.0022547853713108875,0.00022044300225733634,0.0,0.0,0.0,0.0,0.006394789055647858,0.0001600536598362331,0.0001894599633205511,0.0003874393872603042,0.0,0.0030785181006933618,6.272258677983494e-05,0.0,0.0,9.118450126089928e-05,0.00011119990629554563,0.001805267127819042,9.475224183804189e-05,0.00014993672670133204,0.0008323060793716802,0.0,0.00011863465745429007,0.0,0.0019307741900822005,0.0014092297502492576,0.006363283938017988,0.0,0.0001361296017335651,0.0001375125136387411,0.00014833274000237333,0.001623359598717,0.008718695437113535,0.0015775128240249816,0.0013718639370906521,0.00563570784490532,0.00026044922281951913,0.0,0.0,0.00015098988971698455,0.0,8.71714942240168e-05,0.0,0.0,0.0,0.0020277627164967315,0.0,0.0,8.307513581123202e-05,0.007036777761359975,0.00018313408345053915,0.00010976045091169282,0.0,0.009127404414613407,0.0,0.003423761489745406,0.0,0.0019928893707252524,0.0,2.9364608599131983e-05,0.20662075094423463,0.00047149854181217633,0.0,0.0,0.00030179913914397277,0.0,0.0
Malware,0.01948102548118133,0.006050997809538793,0.016481492253698642,0.006922906513070448,0.4775828460038986,0.047187067562337294,0.04541136599956354,0.0003233650662251656,0.0001577316920825,0.009494372057239703,0.015024038461538462,0.008053969950936409,0.003888681889675075,0.0024960063897763577,0.009184905264262846,0.023610034870205347,0.003944995491433724,0.01161535508210039,0.001620072948770704,0.000981469849246231,0.03539611646928149,0.011325560722100657,0.0048619214313496695,0.0005916599611871066,0.010489961913369053,0.0014326100244498778,0.01224162360393399,0.015179182482586826,0.031963977986547334,0.008400537634408602,0.0020414829332026786,0.021490338970003336,0.040342462683222016,0.00444302587775171,0.0006370319407815108,0.0034770514603616135,0.004752301208677926,0.0023120216317147712,0.014129132205808264,0.0018071820193729913,0.006954125018878367,0.010845562988504396,0.009889469723542965,0.0006632003395585738,0.0003822162426614481,0.0,0.025459729981378024,0.008329412712331376,0.02776827135357537,0.01447585984957485,0.003647505106507149,0.007334482654326588,0.10980966325036604,0.002841454420545357,0.005646906245519982,0.004178185425569268,0.022575891747724036,0.002920534148619196,0.0069719733958368635,0.0010912027236419982,0.004127829560585885,0.0014345608245738513,0.10240065102400651,0.012490244279230732,0.0013841213597608239,0.005522283128872813,0.018028846153846152,0.02578513265383213,0.0008921991459869775,0.003694217318490789,0.0007599477155971669,0.005619242169485093,0.014626060389378229,0.008185389988358556,0.009226227088202732,0.02843514691019486,0.009987035697057405,0.0049171894857880614,0.001790488922841864,0.018755412493813083,0.006011234058924212,0.006721802566912901,0.014137957565037534,0.010662307734921503,0.02678991992463495,0.010694714340604223,0.010561474381823702,0.005094802736152564,0.021878646441073513,0.04172807500399524,0.0008072257909405256,0.0008436087012735741,0.019351509417734582,0.056930024315874794,0.01012965964343598,0.005296023743241662,0.00753469012059577,0.003441472032303951,0.01851500440143165,0.027070227905537796,0.0038237611845014646,0.0010099785884539248,0.011817322376554432,0.07847620523949775,0.004568713450292397,0.11123582142804049,0.09411996465029235,0.046696169693270256,0.03734640632890086,0.004713383718532436,0.060020570085218924,0.012215867960040538,0.009084302325581396,0.07613861843016012,0.16571969696969696,0.022268535701030632,0.006065605590062112,0.0014021312394840158,0.02244320143636489,0.027496174445294567,0.0,0.0041315485043794415,0.006766553890768487,0.002259946391969307,0.042558365758754865,0.00023748005167565923,0.004725694862228697,0.01847132122060641,0.0026453160270880362,0.011488970588235295,0.002181881654739047,0.005595631309369845,0.0017062849788420662,0.02140003234495977,0.0016620956982993436,0.004736499083013777,0.0027694741385643966,0.0044386705640359425,0.018967643781691357,0.0023207357108538927,0.0015531809145129226,0.006234413965087282,0.0053798855743930575,0.014159454734966144,0.015888266127595706,0.010138489876670482,0.02938759843346108,0.008917565136125145,0.019659657673996828,0.010083945883614656,0.0007326937730798539,0.026925905281255037,0.03201593838847532,0.03672918571550681,0.0008494540841752367,0.004651094725896808,0.0003375307152950919,0.0007416637000118667,0.006249216154353053,0.027881104273591594,0.005386629155207255,0.012527283846590954,0.00563570784490532,0.008594824353044131,0.004761678015332603,0.0024338006230529593,0.0018118786766038147,0.005830223880597015,0.0017434298844803359,0.01159375483073118,0.016983695652173912,0.011811023622047244,0.01966048199038135,0.0038481272447408927,0.004155585106382979,0.004120526736237109,0.04004059772643043,0.029118319268635725,0.014125325721174007,0.0016164120976084708,0.10533071864512526,0.0003346451422911145,0.011613977295414621,0.00786292304164073,0.014348803469221816,0.0033103813559322032,0.00806058506046173,0.33103754721173073,0.09421798194852116,0.00470632530120482,0.012853470437017995,0.003201846039423987,0.00027114771404400547,0.007448358050847458
Phishing,0.0,0.0012606245436539152,0.0,0.0,0.2826510721247563,0.0005301917703633405,0.0004813925724335357,0.0,0.0,0.0013235842494724944,0.015024038461538462,0.0011761352944224595,0.0011873524206192252,0.0,0.00039363879703983623,0.0010896939170864006,0.0,0.0010432953666557237,0.00043738470539165874,0.0,0.003505685656702,0.0006410694748358862,0.0,0.0,0.0,0.0,0.0005209201533588931,0.0010383309465430868,0.007643559953304797,0.0,0.0,0.0033678889430602244,0.01288717557936259,0.0009929583097140827,0.0,0.0,0.0010389834995442916,0.0033028880453068164,0.0021434591655297157,0.0001390140014902301,0.0029165407543886466,0.00016720963671803691,0.00042493815218348676,0.0,0.0,0.0029151119402985076,0.00036371042830540037,0.0008237880704503558,0.0065900360007470965,0.004614313724308735,0.0,0.0018449626470677192,0.0,0.00012628686313534922,0.002875546353807223,7.666395276273887e-05,0.004506428003906154,5.2543343003643705e-05,0.001914123605038848,0.00027280068091049955,0.00016057022009869195,0.0005562582789163913,0.0,0.004053851213434536,0.0,0.0014699255092305767,0.0,0.002792020733217492,0.0,0.0,0.0007599477155971669,0.0015141670516576596,0.0009750706926252153,0.0,0.0,0.009751101465386845,0.0005653039073806078,0.0015550086408047715,0.0,0.003825562476174871,0.0012518808544732074,0.001238624293228894,0.0018225727984394612,0.0007194539632200744,0.0,0.001568449747520224,0.003630506818751898,0.0015371768926662425,0.0,0.00014797189717728808,0.0001436920757871045,0.00016505387633613405,0.002866890284108827,0.0028947469991122774,0.0,0.0006999776433536447,5.091006838240385e-05,0.0,0.002273194490567231,0.001289058471692276,0.0006650019451306896,0.0,0.0014544396771143918,0.0,0.0,0.03653351569120074,0.015048250162110696,0.005391932448242535,0.0007890085844133984,0.00012157537369230488,0.0032324419629738465,0.000904879108151151,0.0,0.0,0.0,0.0007137351186227767,0.0012131211180124223,0.003505328098710039,0.005179200331468821,0.0008966143840856924,0.006403688524590164,0.0,0.0004833252779120348,0.00015767067850948652,0.0,0.00023748005167565923,0.00029405861148568027,0.004763420751312405,0.0004408860045146727,0.0,0.0,0.0003152468343306955,0.00024375499697743805,0.005019117355280327,0.0009664778690110998,0.0009472998166027555,0.000803577988391742,0.0,0.0012909914615810872,0.0003449742272890922,0.0,0.0,0.0005835808080697554,0.00014826654172739418,0.0043240217942190845,0.00018950448367608378,0.00014993672670133204,0.0029576591034815064,0.0001771140330990705,0.0,0.0,0.0031480013968731534,0.00251019049263149,0.007099335438311114,0.0005663027227834911,0.00012478546825576801,1.2501137603521921e-05,7.416637000118667e-05,0.0015227974996814336,0.012422803774660235,0.002347031274768875,0.0027076261916262868,0.00563570784490532,0.0,0.0,0.0024338006230529593,0.0007549494485849228,0.0,0.00043585747112008397,0.0,0.008491847826086956,0.0,0.00454042521302529,0.0012827090815802976,0.0,0.00016615027162246405,0.006655265714057326,0.0,0.0005037723259793081,0.00019016612913040832,0.011100684783319664,0.00022309676152740967,0.004821538515024886,0.0009828653802050912,0.004384356615595555,0.0,0.00020555226019392387,0.17107309486780714,0.0020683069367494135,0.0,0.0,0.0009088663730542628,0.00018076514269600364,0.0008275953389830508
Spammers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2109616120964345e-06,0.0,4.261359762400216e-05,1.848818648023015e-05,0.0,0.0,0.00036323130569546687,0.0,0.0,0.0,0.0,4.523465363486452e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0265931218406978e-05,0.001389738173328145,0.0,0.0,0.0,0.0005603119817114169,2.713674883690661e-05,0.0,0.0,0.0,0.0,1.9664762986511153e-05,0.0,2.682486442787213e-05,5.765849542001273e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0003492155829455726,0.0001321658974584071,0.0018237525532535746,1.5122644648096059e-05,0.0,6.314343156767461e-05,0.0,0.0,8.750345638652726e-05,4.378611916970309e-06,3.1690788162894836e-05,0.0,7.049424297015744e-05,7.319187880478833e-06,0.0,4.6955805561017794e-05,0.0,2.897991146347249e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012522818662739956,0.0,0.0,0.0,5.078180278108236e-05,1.6544680896121684e-05,1.510517430766944e-05,7.811026279026262e-05,1.6787259141801737e-05,0.0,8.126682629638467e-06,0.0,2.6022341592898904e-05,0.0,0.0,2.452083204558097e-06,0.0,0.0,0.0,0.0,1.6877633532638643e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037165326237233713,0.0006156102339045284,0.0019838242026552723,0.0,0.0,0.001028504260946224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014932353452389984,0.0,0.0,0.0,0.0,0.0,0.00022927861672792193,0.0,0.0,1.434960693556682e-05,0.0,0.0003475746242718312,6.272258677983494e-05,0.0,0.0,1.8236900252179857e-05,0.0,3.3519548792396e-05,0.0,0.0,2.9725217120417153e-05,0.0,0.0,0.0,0.00012592005587492612,0.0,0.0002978742141948719,0.0,0.0,0.0,0.0,1.077451061095354e-05,0.00018721125171716177,0.0,3.610168255501716e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.714314682324522e-05,0.0,0.0,0.0,0.00010294769530388949,0.0,5.628741072394504e-06,0.0,0.0010298793956196007,0.0,5.9911803067239474e-05,0.0,0.0,0.0,0.0,0.07553876916240836,1.8859941672487054e-05,0.0,0.0,0.0,0.0,0.0
Totals,0.02142912802929946,0.01071530862105828,0.016481492253698642,0.006922906513070448,0.8869395711500975,0.04824745110306398,0.04605322276280825,0.0003233650662251656,0.00023659753812374997,0.01158917862530247,0.045072115384615384,0.01102839906509176,0.006524275584578996,0.0024960063897763577,0.010497034587728967,0.03462805114296784,0.003944995491433724,0.013075968595418402,0.0027292805616439507,0.000981469849246231,0.043877614025818586,0.011966630196936542,0.0048619214313496695,0.0005916599611871066,0.010489961913369053,0.0014326100244498778,0.012849363782852698,0.01687198379612435,0.06531769414642281,0.008400537634408602,0.0020414829332026786,0.026943111544481795,0.18098077009278765,0.007103660752352053,0.0012740638815630216,0.0034770514603616135,0.00692810970323929,0.005725005945198481,0.017354153335596093,0.0019461960208632214,0.010854931952658936,0.011162684713314466,0.010855238251232706,0.0006632003395585738,0.0003822162426614481,0.0029151119402985076,0.02909683426443203,0.01125843696282153,0.0457697714034794,0.028732537744979546,0.005471257659760724,0.013761606629767414,0.10980966325036604,0.0032834584415190795,0.008751662815935028,0.004599837165764332,0.06580259920266851,0.003130707520633771,0.010711486399058454,0.0013640034045524978,0.005674786559097674,0.002451927939960409,0.10307880103078801,0.02251270011064353,0.0013841213597608239,0.010068909238475386,0.018028846153846152,0.03104070109282976,0.0011152489324837219,0.004925623091321052,0.0015198954311943338,0.008681224429503915,0.016088666428316054,0.008185389988358556,0.009226227088202732,0.04338739239350637,0.010929208876025085,0.007354770598400947,0.001790488922841864,0.025475537728509648,0.007671217042168421,0.009153735630447682,0.021076752576239196,0.012403386325914085,0.02693711728685822,0.013181479225273593,0.019692749107775444,0.008210048772559604,0.021878646441073513,0.042911850181413545,0.0012598803505019503,0.0010636805363884194,0.029027264126601875,0.06014640987044399,0.01012965964343598,0.006515654840100234,0.007636510257360577,0.006309365392557243,0.022797834601051073,0.030937403320614624,0.0046550136159148265,0.0030299357653617745,0.01381717693258672,0.07847620523949775,0.004568713450292397,0.18315072769708773,0.1585538357989663,0.07716567475456534,0.03813541491331426,0.004900422754982136,0.08661475168968558,0.013573186622267265,0.009084302325581396,0.07613861843016012,0.16571969696969696,0.023553258914551633,0.007278726708074534,0.004907459338194055,0.031075201988812928,0.028990531752104056,0.006403688524590164,0.0041315485043794415,0.008538746576445948,0.002838072213170757,0.042558365758754865,0.00047496010335131846,0.005165053022919066,0.0284759980337077,0.003306645033860045,0.012093653250773995,0.002181881654739047,0.00630493668661391,0.0019500399758195044,0.03942133161977443,0.0031518259167750517,0.005873258862937084,0.004233134045992212,0.0044386705640359425,0.025621215160609268,0.002885238991872407,0.0023297713717693835,0.007793017456359103,0.006237019886245511,0.014604254360148327,0.023698320996223973,0.010422746602184608,0.029987345340266407,0.013524973789789804,0.019836771707095895,0.010558484513431816,0.0007326937730798539,0.03406137511416752,0.037124396233128874,0.055616137702500505,0.001415756806958728,0.005025451130664112,0.0005125466417443987,0.0009641628100154267,0.01176935709069825,0.057754671154744405,0.009772884324447447,0.01870067156349889,0.01690712353471596,0.00885527357586365,0.004761678015332603,0.004867601246105919,0.002717818014905722,0.005830223880597015,0.002266458849824437,0.01159375483073118,0.025475543478260868,0.011811023622047244,0.028399698480500418,0.00513083632632119,0.004155585106382979,0.004386367170833051,0.05656673069609598,0.029301453352086265,0.014941493176671209,0.001806578226738879,0.13882145318970157,0.0005577419038185242,0.03006594614710481,0.00884578842184582,0.022320360952122826,0.0033103813559322032,0.00835423114645305,1.0686514107976006,0.09724185926334325,0.00470632530120482,0.01570979720079977,0.004707372779521506,0.00045191285674000913,0.008275953389830509
Unwanted Programs,0.0,7.563747261923491e-05,0.0,0.0,0.029239766081871343,0.0,0.0,0.0,0.0,9.900827062983225e-05,0.0,0.0006477266838848328,0.0002567803677809743,0.0,0.0,0.0,0.0,0.0,0.00017845295979979677,0.0,0.00036187722907891613,0.0,0.0,0.0,0.0,0.0,0.0,5.1260884846558824e-05,0.004864083606648507,0.0,0.0,0.00026729277325874797,0.0,0.0003984168124691289,0.0,0.0,0.0002795471299222309,0.0,5.899428895953346e-05,0.0,0.0005933895834429297,5.7658495420012735e-05,0.00011589222332276911,0.0,0.0,0.0,0.0025459729981378025,0.00027459602348345194,0.002185413648111003,0.004272816747024901,0.0,0.001240056861143877,0.0,0.0,0.0,0.00015332790552547774,0.0009625380202518,0.0,0.0004278256401990803,0.0,5.091250881178037e-05,0.00010246863032670366,0.0,0.0019919696181329547,0.0,0.0010022219381117569,0.0,0.000656946054874704,0.0,0.001231405772830263,0.0,0.0001850648618692695,0.00016251178210420256,0.0,0.0,0.0005092612922847582,0.0,0.0,0.0,0.000710945238935153,0.00011029787264081123,0.0001812620916920333,0.003423833185639845,0.0002326234481078241,0.0,0.00020316706574096167,0.0,0.0004553909778757308,0.0,0.00029594379435457616,0.0002143120720783777,0.0,0.0003583612855136034,0.0,0.0,0.00012880299274908437,0.0,0.0,6.588969537876033e-05,0.0,0.0,0.0020199571769078497,0.0,0.0,0.0,0.0008548025034563753,0.0014364238791105663,0.001220814893941706,0.0,0.0,0.0003673229503379371,0.0,0.0,0.0,0.0,0.00014274702372455534,0.0,0.0,0.0,0.0,0.0,0.0,0.00016110842597067828,0.0,0.0,0.0,5.535220922083394e-05,0.0017918824142867979,0.0,0.0,0.0,0.0,0.0,0.0031265265917443897,0.00027701594971655727,0.0,5.739842774226728e-05,0.0,9.930703550623748e-05,6.272258677983494e-05,0.0,0.0,9.118450126089928e-05,0.0,0.0005123702458266246,0.0,0.0,0.0006093669509685516,0.0,0.0003559039723628702,0.0,0.0007205425419509662,4.40384296952893e-05,0.0016210401076836869,0.0,1.1344133477797092e-05,0.0,0.0,0.0017023726765306594,0.005830293267763039,0.0001539036901487787,0.0012996605719806178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010359222573407215,0.0,0.0,0.0,0.0002422298713032694,0.0,9.568859823070656e-05,0.0,0.0021776839128750335,0.0,0.008779554843692203,0.0,0.0,0.0,0.0,0.10590239206102348,5.657982501746116e-05,0.0,0.0,0.00014569613613846962,0.0,0.0
