,Exploits,Fraudlent Services,Malware,Phishing,Spammers,Unlabelled,Unwanted Programs,Totals
2013-04-19,16.0,49.0,3460.0,1871.0,1.0,0.0,73.0,5470.0
2013-04-20,192.0,164.0,6939.0,9899.0,3.0,0.0,93.0,17290.0
2013-04-21,8.0,2.0,1768.0,138.0,1.0,0.0,27.0,1944.0
2013-04-22,30.0,72.0,5637.0,1348.0,5.0,0.0,51.0,7143.0
2013-04-23,20.0,21.0,3989.0,95.0,4.0,0.0,56.0,4185.0
2013-04-24,25.0,16.0,3786.0,74.0,3.0,0.0,92.0,3996.0
2013-04-25,18.0,23.0,6528.0,12560.0,5.0,0.0,242.0,19376.0
2013-04-26,26.0,19.0,6660.0,78.0,1.0,0.0,115.0,6899.0
2013-04-27,7.0,28.0,3859.0,385.0,0.0,0.0,60.0,4339.0
2013-04-28,14.0,6.0,2313.0,59.0,1.0,0.0,34.0,2427.0
2013-04-29,11.0,16.0,3226.0,205.0,6.0,0.0,60.0,3524.0
2013-04-30,15.0,13.0,5473.0,77.0,1.0,0.0,90.0,5669.0
2013-05-01,10.0,15.0,5912.0,193.0,0.0,0.0,119.0,6249.0
2013-05-02,15.0,17.0,4611.0,1876.0,1.0,0.0,123.0,6643.0
2013-05-03,20.0,25.0,6761.0,81.0,2.0,0.0,125.0,7014.0
2013-05-04,19.0,35.0,3775.0,39.0,17.0,0.0,125.0,4010.0
2013-05-05,10.0,34.0,3252.0,237.0,1.0,0.0,71.0,3605.0
2013-05-06,52.0,24.0,13343.0,200.0,2.0,0.0,83.0,13704.0
2013-05-07,37.0,44.0,5637.0,99.0,1.0,0.0,176.0,5994.0
2013-05-08,40.0,17.0,7128.0,81.0,1.0,0.0,79.0,7346.0
2013-05-09,206.0,59.0,9929.0,2061.0,4.0,0.0,219.0,12478.0
2013-05-10,236.0,74.0,9937.0,1062.0,13.0,0.0,195.0,11517.0
2013-05-11,73.0,37.0,3657.0,111.0,3.0,0.0,84.0,3965.0
2013-05-12,91.0,53.0,3128.0,163.0,0.0,0.0,88.0,3523.0
2013-05-13,92.0,28.0,5291.0,1002.0,1.0,0.0,110.0,6524.0
2013-05-14,50.0,39.0,6083.0,143.0,1.0,0.0,126.0,6442.0
2013-05-15,37.0,25.0,5908.0,2045.0,0.0,0.0,148.0,8163.0
2013-05-16,25.0,27.0,6335.0,1979.0,1.0,0.0,190.0,8557.0
2013-05-17,26.0,20.0,7714.0,258.0,2.0,0.0,174.0,8194.0
2013-05-18,32.0,33.0,5071.0,246.0,1.0,0.0,73.0,5456.0
2013-05-19,76.0,62.0,6869.0,149.0,1.0,0.0,76.0,7233.0
2013-05-20,168.0,82.0,15402.0,3108.0,2.0,0.0,158.0,18920.0
2013-05-21,112.0,131.0,10570.0,1153.0,6.0,0.0,155.0,12127.0
2013-05-22,100.0,46.0,5652.0,1056.0,9.0,0.0,235.0,7098.0
2013-05-23,28.0,28.0,14968.0,1933.0,1.0,0.0,231.0,17189.0
2013-05-24,78.0,59.0,12674.0,433.0,7.0,0.0,138.0,13389.0
2013-05-25,97.0,95.0,7858.0,191.0,6.0,0.0,53.0,8300.0
2013-05-26,131.0,78.0,12945.0,157.0,7.0,0.0,95.0,13413.0
2013-05-27,380.0,137.0,10742.0,179.0,7.0,0.0,124.0,11569.0
2013-05-28,194.0,102.0,13016.0,378.0,7.0,0.0,97.0,13794.0
2013-05-29,230.0,113.0,15974.0,1232.0,12.0,0.0,107.0,17668.0
2013-05-30,25.0,28.0,7503.0,1894.0,2.0,0.0,143.0,9595.0
2013-05-31,32.0,33.0,5860.0,934.0,3.0,0.0,96.0,6958.0
2013-06-01,26.0,32.0,4477.0,82.0,4.0,0.0,94.0,4715.0
2013-06-02,27.0,16.0,6985.0,1867.0,1.0,0.0,60.0,8956.0
2013-06-03,19.0,12.0,8210.0,1892.0,2.0,0.0,133.0,10268.0
2013-06-04,59.0,40.0,10566.0,1962.0,12.0,0.0,125.0,12764.0
2013-06-05,32.0,94.0,12234.0,1136.0,2.0,0.0,259.0,13757.0
2013-06-06,25.0,23.0,12569.0,4807.0,7.0,0.0,222.0,17653.0
2013-06-07,23.0,244.0,13771.0,5799.0,7.0,0.0,327.0,20171.0
2013-06-08,18.0,18.0,5859.0,1001.0,4.0,0.0,84.0,6984.0
2013-06-09,40.0,65.0,11091.0,1068.0,13.0,0.0,121.0,12398.0
2013-06-10,33.0,32.0,11647.0,8057.0,9.0,0.0,154.0,19932.0
2013-06-11,51.0,827.0,15709.0,6588.0,11.0,0.0,200.0,23386.0
2013-06-12,48.0,54.0,27044.0,9670.0,8.0,0.0,209.0,37033.0
2013-06-13,48.0,83.0,16677.0,1132.0,6.0,0.0,139.0,18085.0
2013-06-14,124.0,48.0,21112.0,4127.0,2.0,0.0,144.0,25557.0
2013-06-15,43.0,43.0,6183.0,1131.0,1.0,0.0,83.0,7484.0
2013-06-16,42.0,49.0,8366.0,3028.0,8.0,0.0,250.0,11743.0
